Location,Note,Highlight_JP,Highlight_EN,注釈,文化的要素の対応訳,翻訳技法,翻訳技法の選出理由,技法検閲有無,DMIS,DMISの選出理由
437,袴,私は帰ったなりまだ袴を着けていた。私はそれなり表へ出た。,"I still wore my hakama, so I went out at once.",hakama: A kind of kilt worn by students.,hakama,Amplification,原文「袴」を「hakama」と借用し、注釈で「A kind of kilt worn by students.」と詳細な説明（増幅）を加えているため。,True,Acceptance,音写である「hakama」と、短いながらも「A kind of kilt worn by students.」という注釈が組み合わされており、読者は「kilt」とは異なる「固有の概念」としてその存在を認識し、自文化との差異を受け入れようとするため。
438,表へ出た,私は帰ったなりまだ袴を着けていた。私はそれなりすぐ表へ出た。,"I still wore my hakama, so I went out at once.",hakama: A kind of kilt worn by students.,went out,Literal translation,原文「表へ出た」を「外に出る」という意味の「went out」と直訳しており、形式・機能・意味が一致しているため。,True,Minimization,「表へ出た」という日本語が持つ「家屋の中から外へ、人前に出る」という特定の空間意識や社会的なニュアンスが、「went out」という自文化の普遍的な「外出」概念に完全に置換されており、読者はその行動の背後にある日本文化固有の差異を認識できないため。
443,魚の骨が喉に刺さった時のように,肴の骨が咽喉に刺さった時のように、私は苦しんだ。,It tortured me like a fish-bone stuck in my throat.,,like a fish-bone stuck in my throat,Literal translation,英語として極めて自然的で、慣用的な表現。「魚の骨(fish-bone)」が「喉に刺さる(stuck in my throat)」という表現は、英語圏でもそのまま通じる。形式・意味・機能が一致する言葉を並べているため。,True,Minimization,「魚の骨が喉に刺さる」という状況が引き起こす苦痛の比喩は多くの文化圏で普遍的に理解・共感され、読者はこの表現を日本文化固有のものとは認識せず、自文化にも存在する普遍的な経験や概念として処理するため。
462,心丈夫,「そういうと、夫の方はいかにも心丈夫のようで少し滑稽だが。,It hardly seems right for me to speak like this.,,なし,Reduction,「心丈夫」という夫の心理状態を表す情報が英訳文「It hardly seems right for me to speak like this.」に直接的に対応する形で含まれておらず、完全に省略されているため。,True,Denial,原文の「心丈夫」という夫の感情や状態を表す要素が英訳では完全に削除され、主語も内容も異なる別の文に置き換わっているため、読者はこの文化的要素の存在自体を認知できない。
489,横浜,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,The sensei had gone out to Shinbashi to see a friend off who was going abroad by the steamer which was to leave Yokohama that day.,,Yokohama,Borrowing,原文「横浜」を「Yokohama」と音写（ローマ字化）し、補足説明を加えていないため。,True,Acceptance,「Yokohama」は補足説明なく固有名詞として音写されており、読者は「日本の固有の地名」として自文化との差異を認識できるものの、その地名が持つ歴史的・文化的背景までは理解できないため。
489,新橋,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,The sensei had gone out to Shinbashi to see a friend off who was going abroad by the steamer which was to leave Yokohama that day.,,Shinbashi,Borrowing,原文「新橋」を「Shinbashi」と音写し、英訳・注釈のいずれにも補足説明を加えていないため。,True,Acceptance,補足なく音写で「Shinbashi」と提示しており、読者はそれが日本固有の地名（固有名詞）であることを認識するものの、その場所の具体的な意味や背景についての説明がないため、差異を認識するに留まるため。
494,座敷,それで私は座敷へ上がって、先生を待つ間、奥さんと話をした。,So I had a talk with his wife while I waited in his drawing-room.,,drawing-room,Adaptation,原文「座敷」が訳文「drawing-room（応接間）」に対応し、畳敷きという具体的な形態の情報が失われ、応接間に置き換わっているため。,True,Minimization,「座敷」が持つ畳の空間や靴を脱いで上がるという日本固有の文化的特性が、「drawing-room」という西洋の客間概念に完全に置き換えられており、読者はその違いを認識せず、自文化の既知の概念と同じものとして処理するため。
504,敬意,だから先生の学問や思想については、先生と密切の関係をもっている私より外に敬意を払うもののあるべきはずがなかった。,"I, who had come into close contact with him, seemed to be the only one who had either knowledge of or respect for his learning or his ideas.",,respect,Literal translation,原文「敬意」を、辞書的な意味の通りに「respect」と直訳し、形式・機能・意味が一致しているため。,True,Minimization,「敬意」という日本の文化的要素が、英語圏にも存在する普遍的な概念である「respect」に完全に置き換えられているため、読者は日本文化における「敬意」の固有性や、それが持つ可能性のある微妙なニュアンスを意識することなく、自文化の概念と同等であると認識してしまうため。
507,謙遜,私にはその答えが謙遜過ぎてかえって世間を冷評するようにも聞こえた。,"To me that answer was too modest, until I realized that it showed his cold critical attitude toward the world.",,modest,Literal translation,原文「謙遜」を「modest」と辞書的な意味の通りに直訳しており、形式・機能・意味が一致しているため。,True,Acceptance,「modest」という普遍的な訳語を用いているが、「until I realized that it showed his cold critical attitude toward the world」という文脈により、表面的な謙遜が内包する「冷評」という裏の意図が示唆され、読者は自文化の「modest」とは異なる機能や文脈（差異）を認識できるため。
531,東京,奥さんは東京の人であった。それはかつて先生からも奥さん自身からも聞いて知っていた。,I heard from both the sensei and his wife that she was a native of Tokyo.,,Tokyo,Borrowing,原文「東京」を「Tokyo」と音写し、英訳にも注釈にも補足説明を一切加えていないため。,True,Acceptance,「Tokyo」という固有名詞がそのまま音写されており、補足説明はないものの、読者はそれが自文化にはない「固有の場所の名前」であると認識し、差異を受け入れる段階にあるため。
533,鳥取,奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,"I had heard her say in a joking manner that to speak exactly she was half Edokko.For her father had come from Tottori, as I remember, while her mother was born in Ichigaya when Tokyo was still called Edo.",,Tottori,Borrowing,原文「鳥取」を「Tottori」と音写し、補足説明を加えていないため。,True,Acceptance,「Tottori」という固有名詞が音写でそのまま提示されており、読者はそれが父親の出身地であることから、自文化にはない日本の固有の地名であるという「差異」を認識できるため。
533,江戸,奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,"I had heard her say in a joking manner that to speak exactly she was half Edokko.For her father had come from Tottori, as I remember, while her mother was born in Ichigaya when Tokyo was still called Edo.",Edokko: A native of Tokyo.,Edo,Amplification,原文「江戸」を「Edo」と借用しつつ、「when Tokyo was still called Edo」と説明（増幅）を加えているため。,True,Adaptation,「Edo」という固有名詞に対し、「when Tokyo was still called Edo」という説明が加えられており、読者は「Edo」が現在の「Tokyo」の過去の名称であるという文脈的な理解を深めることができ、さらに「Edokko: A native of Tokyo」という注釈が文化的要素に紐づく機能（地元の出身者）を補足しているため。
535,新潟県人,ところが先生は全く方角違いの新潟県人であった。,"But the sensei's home was Niigata, a province far away from either Tottori or Tokyo.",,"Niigata, a province far away from either Tottori or Tokyo",Amplification,"Amplification,原文「新潟県人」を「Niigata」と地名で示し、さらに「a province far away from either Tottori or Tokyo」と原文にない地理的情報（詳細）を増補しているため。",True,Adaptation,「新潟県人」という人物の出身地情報を「Niigata」という地名に加え、「a province far away from either Tottori or Tokyo」と地理的な補足説明を加えることで、原文の「方角違い」という文脈が、読者Aさんにも具体的な距離感として理解できるよう論理的に説明されており、文脈的理解を促しているため。
553,花時分,或る時花時分に私は先生といっしょに上野へ行った。そうしてそこで美しい 一対 の 男女 を見た。,"Once in spring-time I went with him to Ueno, and saw a charming couple walking close together under the cherry-blossoms.",,spring-time,Modulation,[部分 → 全体]「花（部分/象徴）」という概念を「春（全体/季節）」という概念に置き換えているため。,True,Acceptance,「花時分」は日本において特に「桜の咲く季節」という固有の文化的な含意を持つが、対応訳の「spring-time」自体は普遍的な「春」を指すため、これだけでは固有性が消え「最小化」となる。しかし、英訳の後半部分に「under the cherry-blossoms」と具体的に桜が言及されているため、読者はこの「spring-time」が単なる一般的な春ではなく「桜の咲く春」であることを文脈から認識できる。これにより、読者は自国の春とは異なる、日本の「花時分」が持つ桜にまつわる具体的な差異を認識する状態にあるため。
594,鶯溪,先生と私とは博物館の裏から鶯渓の方角に静かな歩調で歩いて行った。,The sensei and I walked slowly along from the back of the Imperial Museum toward Uguisudani.,,Uguisudani,Borrowing,原文「鶯渓」を「Uguisudani」と音写し、補足説明を加えていないため。,True,Acceptance,補足なく音写しており、読者に意味は不明確ながらも「自文化にはない固有の固有名詞（地名）」として差異を認識させているため。
595,垣,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"The bamboo clumps covering a part of the garden could be seen through the hedge, looking solitary and mysterious.",,the hedge,Literal translation,辞書的な名詞の対応。,True,Minimization,「垣」を一般的な「the hedge」に置き換えており、読者は日本の「垣」が持つ多様な形態や素材といった固有性を意識せず、自文化の既知の概念として処理するため。
595,幽邃,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"The bamboo clumps covering a part of the garden could be seen through the hedge, looking solitary and mysterious.",,solitary and mysterious,Modulation,[単一概念 → 分析的属性]「幽邃（奥深くて静か）」という一語の持つ質感を、「solitary and mysterious(孤独で、かつ神秘的)」と分析的に分解・解釈しており、形容詞を重ねて概念を再構成しているため。,True,Minimization,"「幽邃」が持つ日本文化固有の奥ゆかしさや静謐な美といった美的感覚が、""solitary and mysterious""という一般的な形容詞句に置き換えられており、読者はその固有性を意識せず、自文化の既知の概念として処理してしまうため。"
595,熊笹,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"The bamboo clumps covering a part of the garden could be seen through the hedge, looking solitary and mysterious.",,bamboo clumps,Generalization,原文「熊笹」という特定の植物名を「bamboo clumps」というより一般的な「竹の茂み」に一般化しているため。**,True,Minimization,「熊笹」という特定の日本固有の植物が、英訳では一般的な「bamboo clumps」に置き換えられており、その植物としての固有性が失われているため。読者は、この訳語から「熊笹」の具体的な特徴や文化的背景を読み取ることができず、自文化の既知の「竹の群生」と同じものとして処理し、固有性を意識しない状態となるため。
597,雑司ヶ谷,「君は私がなぜ毎月雑司ヶ谷の墓地に埋っている友人の墓へ参るのか知っていますか」,"""Do you know the reason why I visit my friend's grave in Zoshigaya every month?""",,Zoshigaya,Borrowing,原文「雑司ヶ谷」を「Zoshigaya」と音写し、英訳文および注釈にも一切補足説明がないため。,True,Acceptance,補足説明なく音写でそのまま提示されており、読者は「Zoshigaya」が自文化とは異なる固有名詞であるという差異を認識するが、その場所の具体的な意味や文化的背景についての理解には至らないため。
616,お気の毒,「私はお気の毒に思うのです」,"""I am sorry for you.""",,sorry for you,Established equivalent,原文「お気の毒」が、その意味や感情を表す英語圏で定着している表現「sorry for you」で対応されているため。,True,Minimization,「お気の毒」という日本の感情表現が、英語圏の読者にとって普遍的な「I am sorry for you」に置き換えられており、読者はその背後にあるかもしれない文化的固有性や微妙なニュアンスを意識せず、自文化の既知の感情と同じものとして処理するため。
616,気の毒,「気の毒だが信用されないとおっしゃるんですか」,"""Is it true that you cannot trust me, and perhaps hesitate to say so ?""",,hesitate to say so,Modulation,[原因 → 結果]原文の「気の毒だが」という感情を、そこから生じる「そう言うのをためらう（hesitate to say so）」という行動へ視点を変更して訳出しているため。,True,Minimization,「気の毒だが」が持つ他者への深い同情や配慮といった固有の感情的ニュアンスが、「言うことをためらう」という行動の躊躇に置き換えられており、読者はその文化的固有性を認識せず、自文化にも存在する一般的な概念として処理するため。
617,椿の花,その庭に、この間まで重そうな赤い強い色をぽたぽた点じていた椿の花はもう一つも見えなかった。,"The camellias, with their heavy strong red, had been in bloom when I was there before, but they were all gone now.",,camellias,Literal translation,原文「椿の花」を、英語圏で定着している訳語「camellias」で対応させているため。,True,Minimization,「椿の花」を一般的な「camellias」という英名で置き換えており、原文が含んでいた日本文化における椿の散り際や存在感に関する固有の美意識や象徴性といった文化的意味合いが英訳からは伝わらないため、読者はこれを自文化にも存在する（または知っている）普遍的な花の一つとして処理し、その固有性を意識できない状態にある。
618,座敷,先生は座敷からこの椿の花をよく眺める癖があった。,The sensei had a habit of looking at them while he was talking in the drawing-room.,,drawing-room,Adaptation,「Drawing-room」は「客間」全般ではなく、西洋文化特有の「応接間」を指します。日本文化の「座敷」を西洋文化の「Drawing-room」に置き換えているため、GeneralizationではなくAdaptation。,True,Minimization,「座敷」が持つ畳の空間や和の様式といった固有の文化要素が「drawing-room」という自文化の既知の概念に完全に置き換えられており、読者はその違いを認識できず自国と同じものとして処理するため。
618,椿の花,先生は座敷からこの椿の花をよく眺める癖があった。,The sensei had a habit of looking at them while he was talking in the drawing-room.,,them,Generalization,代名詞化は、具体的な名称を避けて一般的な指示語にする処理なので、翻訳技法としては Generalization（一般化） に分類する,True,Denial,原文の「椿の花」という具体的な文化的要素が、英訳では指示代名詞`them`に置き換えられており、その`them`が何を指すのか英訳文単体では全く不明なため、読者はその要素の存在自体を認識できない状態にある。
620,生垣,その時生垣の向うで金魚売りらしい声がした。,"As he spoke, a voice which seemed to be a goldfish vendor's was heard from across the hedge.",,hedge,Literal translation,辞書的な名詞の対応,True,Minimization,「生垣」を英語圏で一般的な概念である「hedge」に置き換えており、読者はその文化的要素の固有性を意識せず、自文化の既知の概念と同じものとして処理するため。
620,金魚売り,その時生垣の向うで金魚売りらしい声がした。,"As he spoke, a voice which seemed to be a goldfish vendor's was heard from across the hedge.",,goldfish vendor,Literal translation,「Goldfish（金魚）」＋「Vendor（売り）」の直訳。,True,Minimization,「金魚売り」は日本において夏の風物詩としての特定の文化的文脈や移動販売の形態といった固有性を持つが、英訳の「goldfish vendor」は「金魚を売る人」という字義的な普遍概念に留まり、その固有性が消えているため、読者は自文化の物売りと同一視し、固有性を意識しない状態に置かれる。
624,針仕事,黙って針仕事か何かしている奥さんの耳に私の話し声が聞こえるという事も知っていた。,"I knew that my words could be plainly heard by his wife, sitting in the next room, busy with needle-work or some other feminine task.",,needle-work or some other feminine task,Amplification,原文「針仕事」を「needle-work」と訳した上で、さらに「or some other feminine task」という補足的な詳細（説明）を加えているため。,True,Minimization,「針仕事」が「needle-work」という自文化で既知の概念に置き換えられ、さらに「or some other feminine task」と補足されることで、日本固有の文化的な文脈（例えば、当時の女性の役割や静謐さなど）が失われ、読者は自国の一般的な女性の家事労働と同化して処理し、固有性を意識しないため。
632,襖の陰で,すると襖の陰で「あなた」という奥さんの声が二度聞こえた。,But just then we heard his wife calling him twice behind the sliding-doors.,,behind the sliding-doors,Generalization,原文「襖」を、より一般的な引き戸全般を指す「sliding-doors」に一般化しているため。,True,Minimization,「襖」を「sliding-doors」と訳すことで、読者はこれを自文化にも存在する一般的な「滑る扉」として認識し、「襖」が持つ和紙や木でできた独特の質感や文化的な意味合いといった固有性が伝わらず、自文化の既知の概念に同化されてしまうため。
676,秋,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。,"It was late autumn, and in these chilly days, no one could be indifferent to the atomosphere of bustle which attended the shortening day.",,autumn,Literal translation,「秋」を「autumn」と辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,True,Adaptation,「autumn」という一般的な季節名を用いつつも、「late autumn」「chilly days」「shortening day」「atomosphere of bustle」という具体的な形容や文脈描写を加えることで、原文の「日の詰って行くせわしない秋」「肌寒の季節」という秋の具体的な情景や雰囲気を詳細に説明しており、読者がその機能や文脈を理解し、共感できる状態に橋渡ししているため。
676,肌寒い,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。,"It was late autumn, and in these chilly days, no one could be indifferent to the atomosphere of bustle which attended the shortening day.",,chilly,Literal translation,原文「肌寒い」を、形式・機能・意味が一致する「chilly」と辞書的な意味の通りに直訳しているため。,True,Minimization,「肌寒い」という日本語が持つ可能性のある繊細な季節感や情緒的な固有性が、「chilly」というより普遍的で直接的な「少し寒い」という概念に置き換えられており、読者はその固有性を認識できず、自文化の同等の感覚として処理するため。
693,煙草を飲む,私は 畏まったまま 烟草 を飲んでいた。奥さんが茶の間で何か 下女 に話している声が聞こえた。,"I remained in a formal attitude, smoking, and could hear the sensei's wife talking to the maid in the sitting-room.",,smoking,Established equivalent,原文「煙草を飲む」を、英語圏で喫煙行為を指す確立された表現「smoking」で訳しているため。,True,Minimization,「煙草を飲む」という行為が一般的な「smoking」に置き換えられており、読者はその行為に日本の文化的な固有性を意識せず、自国の普遍的な行為と同一のものとして処理するため。
694,茶の間,私は 畏まったまま 烟草 を飲んでいた奥さんが茶の間で何か下女に話している声が聞こえた。,"I remained in a formal attitude, smoking, and could hear the sensei's wife talking to the maid in the sitting-room.",,sitting-room,Adaptation,日本固有の家族団欒スペース（茶の間）を、英国文化等の「Sitting-room（居間）」に置き換えているため。,True,Minimization,「茶の間」を「sitting-room」という自文化の既知の概念に完全に置換しており、読者は「茶の間」が持つ日本固有の空間様式や機能（畳敷き、座って生活する、多目的性など）の差異を認識できず、自国の居間と同じものとして処理するため。
694,下女,私は 畏まったまま 烟草 を飲んでいた。奥さんが茶の間で何か 下女 に話している声が聞こえた。,"I remained in a formal attitude, smoking, and could hear the sensei's wife talking to the maid in the sitting-room.",,maid,Literal translation,原文「下女」を「maid」と辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,True,Minimization,「下女」を一般的な「maid」に置き換えることで、読者は日本の文脈における「下女」が持つ身分制度や社会的な立ち位置といった固有のニュアンスを認識できず、自文化にも存在する「家事使用人」という普遍的な概念として処理するため。
700,鹿爪らしく,「おや」といって、軽く驚いた時の眼を私に向けた。そうして客に来た人のように鹿爪らしく控えている私をおかしそうに見た。,"”Why,” she said, looking in, half surprised at me sitting formally like a guest. It seemed to appear ridiculous to her.",,sitting formally,Generalization,原文「鹿爪らしく」が持つ「堅苦しく真面目ぶっている」という特定の含意を、英訳「sitting formally」はより中立的・一般的な「形式ばって座っている」という表現に一般化しているため。,True,Adaptation,「鹿爪らしく」を「sitting formally」と訳しつつ、「like a guest」という比喩でその行動の文脈と日本的な控えめさのニュアンスを説明している。さらに、「It seemed to appear ridiculous to her」という他者の反応を示すことで、その行動がどのような意味を持ち、どう受け取られたかを具体的に示し、読者がその状況を論理的・感情的に理解できるよう橋渡しをしているため。
709,長火鉢,私は奥さんの 後 に 尾 いて書斎を出た。茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,"I followed her to the sitting-room, where an iron tea-kettle was singing pleasantly on a beautifully polished oblong brazier.",,oblong brazier,Literal translation,原文「長火鉢」を、その形態「oblong」と種類「brazier」で説明しているため。,True,Minimization,「長火鉢」を「oblong brazier」と訳すことで、長方形という形状の一部は伝わるものの、日本家屋における役割や機能といった固有性が薄まり、読者は自文化にある類似の火鉢や加熱器具の範疇として、その本質的な違いを意識せず普遍的な概念として処理するため。
709,鉄瓶,私は奥さんの 後 に 尾 いて書斎を出た。茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,"I followed her to the sitting-room, where an iron tea-kettle was singing pleasantly on a beautifully polished oblong brazier.",,iron tea-kettle,Literal translation,原文「鉄瓶」を「iron tea-kettle」と訳しており、その言葉の辞書的な意味を直訳し、形式・機能・意味が一致しているため。,True,Minimization,「鉄瓶」を「iron tea-kettle」と訳すことで、材質と用途という普遍的な情報に還元され、日本の「鉄瓶」が持つ伝統工芸品としての固有性や文化的な背景が失われ、読者は自文化の既知の概念（鉄製のやかん）と同一視するため。
724,空の盃,空の盃でよくああ飽きずに献酬ができると思いますわ,I wonder why they don’t get tired offering and taking quite empty cups.,,empty cups,Literal translation,原文「空の盃」を「empty cups」と、各語が辞書的な意味通りに直訳され、形式・機能・意味が一致しているため。,True,Minimization,「空の盃で献酬をする」という行為が持つ文化的な意味合いや固有の習慣が英訳では説明されておらず、読者はその行為を単なる物理的なコップのやり取りとして、自文化の既知の概念や普遍的な行為と誤って処理し、固有性を意識できないため。
724,献酬,空の盃でよくああ飽きずに献酬ができると思いますわ,I wonder why they don’t get tired offering and taking quite empty cups.,,offering and taking,Description,「献酬」という用語を、その行為の機能である「offering and taking」という動作の組み合わせで説明しているため。,True,Minimization,「献酬」が「offering and taking」と訳されることで、日本の酒席における特定の儀礼や親睦を深める文化的な意味合いが失われ、読者はそれを単なる一般的な「物のやりとり」という普遍的な行為として処理し、固有性を意識しないため。
773,春の雲,けれどもそれは懐かしい春の雲を眺めるような心持で、ただ漠然と夢みていたに過ぎなかった。,"But it was like the feeling which takes possession of us when we look upon the lovely clouds of spring, a mere indefinite longing.",,clouds of spring,Literal translation,「AのB」を「B of A」とするのは英語の標準的な文法規則であり、特別な構造の借用ではありません。「Clouds of spring」は詩的ですが一般的な英語表現の範疇であるため。,True,Minimization,「春の雲」という物理現象は普遍的だが、それに付随する「懐かしさ」や「漠然とした夢見心地」といった日本文化特有の繊細な感情が、「lovely clouds of spring」と「a mere indefinite longing」という普遍的な美意識と感情に置き換えられており、読者はその文化的固有性を意識せず自国の経験と同一視して処理するため。
792,下女部屋,下女部屋 にいる下女はことりとも音をさせなかった。私はまるで泥棒の事を忘れてしまった。,"No sound was heard from the maid in the servant's room, and the thought of the thief had disappeared entirely from my mind.",,servant's room,Generalization,原文の「下女（Gejo）」は「女性の家事使用人（Maid）」という性別と役割が特定された言葉。訳文の「Servant」は「使用人全般」を指す言葉であり、性別や具体的な役割（掃除、料理など）が捨象されているため。,True,Minimization,「下女部屋」を一般的な「servant's room」に置き換えており、読者はその背後にある日本の文化・社会的な固有性や文脈を意識せず、自国の召使いの部屋と同じものとして処理するため。
798,水注,奥さんは火鉢の灰を 搔 き 馴らした。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,"She levelled the ashes in the brazier, and poured water into the iron kettle, which stopped singing at once.",,なし,Reduction,原文の「水注」という水を注ぐ器の情報が、訳文では完全に省略されているため。,True,Denial,文化的要素「水注」が英訳から完全に削除・省略されており、読者はその存在自体を認識できないため。
798,鉄瓶,奥さんは火鉢の灰を 搔 き 馴らした。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,"She levelled the ashes in the brazier, and poured water into the iron kettle, which stopped singing at once.",,iron kettle,Literal translation,原文「鉄瓶」を「iron kettle」と、各構成要素が辞書的な意味通りに直訳され、形式・機能・意味が一致しているため。,True,Minimization,「鉄瓶」を「iron kettle」（鉄製のやかん）と訳すことで、日本の茶の湯文化や囲炉裏などで使われる固有の機能や美的価値が失われ、読者はこれを自文化にも存在する普遍的な「やかん」の一種として処理し、固有性を認識しないため。
858,下女,下女だけは仮寝でもしていたとみえて、ついに出て来なかった。,"The maid did not appear, she must have been dozing in her room.",,maid,Literal translation,「下女」＝「Maid」は、辞書的にも機能的にも範囲がほぼ完全に一致しているため。,True,Minimization,「下女」という日本の特定の歴史的・社会的な文脈を持つ文化的要素が、読者にとって既知の一般的な「maid」という概念に完全に置き換えられており、その固有性（身分や時代のニュアンス）が消えているため。
871,西洋菓子,奥さんはそういいながら、先刻出した西洋菓子の残りを、紙に包んで私の手に持たせ,"So saying, she wrapped up the cakes which I had left, and handed them to me.",,cakes,Particularization,原文の「西洋菓子」という比較的に広い概念を、より具体的な種類の「cakes」に特定しているため。,True,Minimization,「西洋菓子」という原文が持つ「西洋由来の菓子」という固有の文脈や差異が、訳文では一般的な「cakes」という自文化にも存在する概念に完全に置き換えられているため、読者はその固有性を意識せず自国のケーキと同じものとして処理してしまうため。
879,鳶色,私はその翌日午飯を食いに学校から帰ってきて、昨夜机の上に載せて置いた菓子の包みを見ると、すぐその中からチョコレートを塗った鳶色のカステラを出して頰張った。,"At noon on the next day, when I returned from school to take lunch, and looked at the package of cakes on my desk, I at once attacked one decorated with chocolate.",,なし,Reduction,原文の「鳶色」という色情報が、訳文の「one decorated with chocolate」では完全に省略されているため。,True,Denial,原文にあった「鳶色」という色彩情報が訳文では完全に削除されており、読者はその要素の存在自体を認知できないため。
885,繻絆,それまで繻絆というものを着た事のない私が、シャツの上に黒い襟のかかったものを重ねるようになったのはこの時からであった。,"It was after that that I, who had never worn juban 1 before, began to wear one with a black collar over my shirt.",juban: A kind of underwear for Japanese kimono.,juban,Amplification,原文「繻絆」を「juban」と借用しつつ、注釈で「A kind of underwear for Japanese kimono.」と説明（増幅）を加えているため。,True,Adaptation,音写された「juban」に加えて、英訳本文中で「シャツの上に黒い襟のかかったもの」としてその特徴と着用方法が説明され、さらに注釈で「日本の着物用下着の一種」という機能と文脈が具体的に示されているため、読者はその文化要素が日本でどのように機能するかを具体的に理解できる状態にあると判断できるため。
914,五徳,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,"There was a huge brazier in this sun-lit room, and with the help of the steam from the basin boiling on it, the sensei was trying to ease his breathing.",,on it,Reduction,原文の「五徳」という要素が訳文では省略され、金盥が「火鉢の上に（on it）」置かれるという表現に情報が還元されたため。,True,Minimization,「五徳」という特定の文化的要素（火鉢の上に鍋などを置くための器具）が、英訳では単に「on it」（火鉢の上に）という普遍的な位置関係を示す表現に置き換えられており、その固有の機能や形状といった差異が完全に消滅し、読者は自文化の既知の概念（普遍的な台座や置き場所）と同一視してしまうため。
914,金盥,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,"There was a huge brazier in this sun-lit room, and with the help of the steam from the basin boiling on it, the sensei was trying to ease his breathing.",,basin,Generalization,原文の「金盥」は金属製という具体的な素材を含むが、訳文の「basin」は素材を特定しない一般的な用語に一般化されているため。,True,Minimization,「金盥」が「basin」と訳されており、金属製であるという材質や、盥という特定の形状の固有性が失われているため、読者は自文化の汎用的な容器と同一視し、その文化的固有性を認識できない状態にある。
926,茶箪笥,それを奥の茶簞笥か何かの抽出から出して来た奥さんは、白い半紙の上へ鄭寧に重ねて、「そりゃご心配ですね」といった。,"When she took the bank-notes out of a drawer of some cabinet in the back-room, she put them in a while paper in a neat pile and said, ”O I am very sorry. You must be anxious about your father.”",,cabinet,Generalization,原文の「茶箪笥」が、特定の用途を示す「茶」の情報が失われ、より一般的で中立的な「cabinet」という収納家具に一般化されているため。,True,Minimization,英訳の「cabinet」は、原文の「茶簞笥」が持つ茶道具収納という特定の機能や和の文化的固有性を完全に削除し、一般的な収納棚という自文化の既知の概念に置き換えているため、読者はその固有性を意識せず「私の国と同じだ」と誤って処理するため。
936,胡座,それでも着いた時は、床の上に胡坐をかいて,"When I reached home, however, he sat cross-legged on his bed,",,cross-legged,Description,原文の「胡座」という座り方の用語を使わず、その形態（脚を交差させる）を説明する「cross-legged」という表現に置き換えているため。,True,Minimization,「胡座」という日本固有の座り方（床座文化を背景に持つ）が、英語圏にも存在する一般的な「cross-legged」に置き換えられているため、読者はその文化的固有性を認識せず、自文化の既知の概念として処理してしまうため。
940,不承無性,母は不承無性に太織りの蒲団を畳みながら「お父さんはお前が帰って来たので、急に気が強くおなりなんだよ」といった。,"As she reludrantly folded the heavy quilts, my mother said, “ Your father has become much brighter since you came back.”",,reluctantly,Literal translation,辞書にある副詞の直接的な対応語,True,Minimization,「不承無性」という日本語の表現が持つ固有のニュアンスや言葉自体の文化的な響きが、普遍的な英語の副詞「reluctantly」に置き換えられており、読者はその違いを意識することなく、自文化の既知の概念として処理するため。
943,九州,私の兄はある職を帯びて遠い九州にいた。,"My elder brother’s profession took him to faraway Kyushu,",,Kyushu,Borrowing,原文「九州」を「Kyushu」と音写し、英訳にも注釈にも補足説明を加えていないため。,True,Acceptance,音写で「Kyushu」と固有名詞がそのまま提示されており、補足説明は「faraway（遠い）」という地理的距離を示すものに留まっているため、読者は「Kyushu」が自文化にはない固有の地名であり、遠くにある場所であると認識するものの、その具体的な意味や文化的な背景までは理解できない状態にあるため。
