Location,Note,Highlight_JP,Highlight_EN,注釈,文化的要素の対応訳,翻訳技法,翻訳技法の選出理由,技法検閲有無,DMIS,DMISの選出理由
443,魚の骨が喉に刺さった時のように,肴の骨が咽喉に刺さった時のように、私は苦しんだ。,"It bothered me terribly, like a fish bone in my throat.",,like a fish bone in my throat,Literal translation,「肴の骨」を「fish bone」、「咽喉に刺さった」を「in my throat」と、辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,True,Minimization,読者は「魚の骨が喉に刺さる」という比喩を、日本文化固有の表現としてではなく、普遍的な身体感覚に基づく苦痛の描写として、自文化の既知の概念（理解可能な身体感覚や比喩のパターン）と結びつけて処理するため、この表現が持つ文化的固有性を認識しない状態にあるため。
462,心丈夫,そういうと、夫の方はいかにも心丈夫のようで少し滑稽だが。,"Of course, my last remark would lead one to suppose that the husband is self-reliant.Which is laughable.",,self-reliant,Modulation,[状態(感情) -> 特性(性質)]「心丈夫」が他者からの影響による安心感を示すのに対し、「self-reliant」は夫自身の自立性という異なる視点（認知的カテゴリー）で表現しているため。,True,Defense,「心丈夫」が「self-reliant」と翻訳されたことで、本来の「他者に安心感を与える」というニュアンスが「自己完結的である」という異なった意味合いに置換されている上、その「self-reliant」な状態が「laughable」（笑いものだ、馬鹿げている）と強く否定的に形容されており、読者は自文化で肯定的に捉えられがちな「自立」が異文化では「嘲笑の対象」となるという、理解しがたい奇妙な価値観として捉え、拒絶する可能性が高いため。
489,横浜,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,"A friend of his, I learned, was sailing from Yokohama, and Sensei had gone to see him off at Shimbashi. I found Sensei out.",,Yokohama,Borrowing,原文「横浜」を「Yokohama」と音写（ローマ字化）し、英訳にも注釈にも一切補足説明がないため。,True,Acceptance,「Yokohama」が固有名詞としてそのまま音写されており、読者は自文化にはない特定の場所の名称として差異を認識できるものの、その場所の文化的・地理的背景についての補足説明が一切なく、深い文脈的理解には至らないため。
489,新橋,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,"A friend of his, I learned, was sailing from Yokohama, and Sensei had gone to see him off at Shimbashi. I found Sensei out.",,Shimbashi,Borrowing,原文「新橋」が「Shimbashi」と音写（ローマ字化）され、訳文にも注釈にも補足説明がないため。,True,Acceptance,「Shimbashi」が補足説明なくそのまま音写されており、読者はそれが何らかの場所を示す固有名詞であると認識できるものの、その具体的な機能や性質（駅か、港か、特定の地域かなど）については理解できない。しかし、自文化にはない固有の名称として提示されているため、安易な置き換えによって固有性が失われることはなく、「私の国とは違う固有名詞の場所だ」という差異を認識し、受け入れようとする状態にあるため。
494,座敷,それで私は座敷へ上がって、先生を待つ間、奥さんと話をした。,"While waiting for Sensei, therefore, I talked to his wife.",,なし,Reduction,原文「座敷」という空間的・文化的要素が、英訳に全く対応する語句として現れておらず、完全に省略されているため。,True,Denial,「座敷」という文化的要素が英訳文から完全に削除・省略されており、読者（Aさん）はその存在自体を認知できないため。
504,敬意,先生はまるで世間に名前を知られていない人であった。だから先生の学問や思想については、先生と密切の関係をもっている私より外に敬意を払うもののあるべきはずがなかった。,"Sensei lived in complete obscurity. Apart from myself, there was no one who knew of Sensei's scholarship or his ideas.",,there was no one who knew of Sensei's scholarship or his ideas,Reduction,原文「敬意を払うもの」という情報に含まれる「敬意」の概念が、訳文では「知る者」という表現に置き換えられ、直接的に訳されていないため。,True,Minimization,原文の「敬意を払うもの」という対象への評価や尊敬の感情・行為の側面が、「知る者」という普遍的な情報・事実の側面に置き換えられており、読者はその文化的要素の固有性を意識せず、自文化にある「無名な人物は知られず評価されない」といった概念に同化して処理するため。
507,謙遜,私にはその答えが謙遜過ぎてかえって世間を冷評するようにも聞こえた。,"This remark struck me as being too modest, and I wondered whether it did not spring from a contempt of the outside world.",,modest,Literal translation,原文「謙遜過ぎて」の「謙遜」部分が、訳文で「too modest」の「modest」と辞書的な意味の通りに直訳されており、形式・機能・意味が一致しているため。,True,Minimization,「謙遜」が一般的な「modest」と訳されており、読者はそれを自文化の「控えめさ」という既知の概念と同一視するため。英訳が「謙遜が度を超すと軽蔑と受け取られかねない」という可能性を示唆しているものの、それは普遍的な人間心理の複雑さとして解釈されやすく、「謙遜」が日本文化において持つ固有の社会的機能や美徳といった側面は伝わらず、文化的な差異が意識されないため。
531,東京,奥さんは東京の人であった。,She was a Tokyo woman.,,Tokyo,Borrowing,原文「東京」を「Tokyo」と音写し、英訳にも注釈にも補足説明を一切加えていないため。,True,Acceptance,「Tokyo」という固有名詞が補足説明なくそのまま提示されており、読者はそれが異文化の地名であるという差異を認識できるが、その地名が持つ文化的な意味合いや背景までは理解できないため。
533,鳥取,奥さんは「本当いうと 合の子 なんですよ」といった。奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,"Her father had actually come from some such place as Tottori, while her mother had been born in Ichigaya, when Tokyo was still known as Yedo.For this reason, she once said, half-jokingly, ""I am, as a matter of fact, of mixed blood."" ",,Tottori,Borrowing,原文「鳥取」を「Tottori」と音写（ローマ字化）し、補足説明を加えていないため。,True,Acceptance,「Tottori」が補足なく音写されており、読者は日本の固有の地名であるという差異は認識するが、その場所の具体的な意味や文脈までは理解できないため。
533,江戸,奥さんは「本当いうと 合の子 なんですよ」といった。奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,"Her father had actually come from some such place as Tottori, while her mother had been born in Ichigaya, when Tokyo was still known as Yedo.For this reason, she once said, half-jokingly, ""I am, as a matter of fact, of mixed blood."" ",,"Yedo, when Tokyo was still known as Yedo",Amplification,"Amplification,原文「江戸」を「Yedo」と音写（借用）し、それに「when Tokyo was still known as Yedo」という補足説明（増幅）を加えているため。",True,Adaptation,「Yedo」という音写に加えて「when Tokyo was still known as Yedo」という文中説明が詳細な補足説明として機能しており、読者は「江戸」が現在の東京の旧称であるという文脈と機能を理解し、その文化要素を文脈的に理解できるため。
535,新潟県人,ところが先生は全く方角違いの新潟県人であった。,"Sensei, on the other hand, was from the province of Niigata.",,from the province of Niigata,Established equivalent,単に「新潟県（Niigata Prefecture）」を、文学的慣習に従って「the province of Niigata」と訳しただけ,True,Minimization,「新潟県人」という日本固有の概念が、読者自身の文化にも存在する「province出身者」という普遍的な概念に置き換えられており、文化的要素の固有性が失われているため。
553,花時分,或る時花時分に私は先生といっしょに上野へ行った。,"One day, during the flower-viewing season, Sensei and I went to Ueno.",,flower-viewing season,Amplification,原文「花時分」を「flower-viewing season」と訳す際に、「viewing」という行為を明示的に加え、花時分が「花を観賞する時期」であることを説明的に増幅しているため。,True,Minimization,「花時分」が指す日本固有の文化（主に桜と花見）に関する情報が薄まり、「花を見る季節」というより普遍的な概念に置き換えられているため、読者はその固有性を意識せず自国の既知の概念と同じものとして処理する可能性が高いため。
594,鶯溪,先生と私とは博物館の裏から鶯渓の方角に静かな歩調で歩いて行った。,"Sensei and I walked slowly in the direction of Uguisudani, past the back of the museum.",,Uguisudani,Borrowing,原文「鶯渓」を「Uguisudani」と音写し、英訳にも注釈にも補足説明を一切加えていないため。,True,Acceptance,補足なく音写されており、読者には特定の地名であること以外の意味は不明確ながらも、「自文化にはない固有の概念」として差異を認識させているため。
595,垣,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",,fencing,Generalization,原文「垣」を、より一般的な囲いの構造物や材料を指す「fencing」に一般化しているため。,True,Minimization,「垣」が日本の庭園に特有の素材や様式、美的感覚を伴う文化要素であるにもかかわらず、英訳では「fencing」という一般的な囲いを指す語に置き換えられており、読者はその固有性を意識せず自国の「柵」や「囲い」と同じものとして処理してしまうため。
595,幽邃,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",,なし,Reduction,原文の「幽邃」に相当する美的・情緒的な情報が、訳文では完全に省略されているため。,True,Denial,原文における「幽邃」という日本固有の美的・感性的な文化的要素が英訳では完全に削除されており、読者はその要素の存在や意味を全く認知できないため。
595,熊笹,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",,dwarf bamboos,Literal translation,原文「熊笹」を「dwarf bamboos」辞書的に変換して対応しているため。,True,Minimization,「熊笹」が持つ特定の美的・文化的固有性（例：日本の庭園における幽邃な趣、特定の葉の形状や生育環境）が、「dwarf bamboos」という一般的な「小型の竹」という物理的特徴の記述に置き換えられており、読者はその固有性を意識せず自国の既知の「竹」や「植物」の概念で処理するため。
597,雑司ヶ谷,「君は私がなぜ毎月雑司ヶ谷の墓地に埋っている友人の墓へ参るのか知っていますか」,"""Do you know why I go every month to my friend's grave in Zoshigaya?""",,Zoshigaya,Borrowing,原文「雑司ヶ谷」を「Zoshigaya」と音写し、補足説明を加えていないため。,True,Acceptance,「Zoshigaya」が音写でそのまま提示されており、読者はそれが「自文化にはない固有の地名」として差異を認識できるものの、その場所に関する具体的な情報や背景説明が一切ないため、それ以上の深い理解には至らないため。
616,お気の毒,「私はお気の毒に思うのです」,"""I am simply sorry for you.""",,sorry for you,Established equivalent,原文「お気の毒」を、英語圏で同情を示す際に確立された慣用表現「sorry for you」で対応させているため。,True,Minimization,「お気の毒」が持つ潜在的な複雑な感情や、相手の状況に対する距離感といった日本語固有のニュアンスが、「simply sorry for you」という英訳によって、英語圏の読者にとって普遍的な「同情」という感情に完全に置き換えられており、文化的要素の固有性（違い）が消えているため。
616,気の毒,「気の毒だが信用されないとおっしゃるんですか」,"""I deserve your sympathy but not your trust. Is that what you mean, Sensei?""",,I deserve your sympathy,Modulation,[感情(状況) -> 権利(主張)]原文「気の毒だが」という状況に対する感情表現を、「I deserve your sympathy」と話者自身の立場からの主張に視点を変更しているため。,True,Minimization,「気の毒」という日本語の多義的な感情が、普遍的な概念である「sympathy（同情）」に置き換えられており、読者はその文化的固有性を意識せず自国の感情と同一のものとして処理するため。
617,椿の花,その庭に、この間まで重そうな赤い強い色をぽたぽた点じていた椿の花はもう一つも見えなかった。,"Not long before, the garden had been full of camellias.But now, the flowers, which had brightened the scenery with their rich, red color, were all gone.",,camellias,Literal translation,原文「椿の花」が、英語圏で広く認知されている植物名「camellias」という確立された等価語で訳されているため。,True,Acceptance,"「camellias」という具体的な植物名と「rich, red color」という視覚的特徴が明示されており、読者はそれが自文化の一般的な花とは異なる、特定の差異を持つ要素として認識できるため。"
618,座敷,先生は座敷からこの椿の花をよく眺める癖があった。,It had been Sensei's custom to look out from his room and gaze at them.,,his room,Generalization,原文「座敷」が指す特定の日本家屋の部屋を、より一般的・中立的な用語である「his room」に一般化しているため。,True,Minimization,「座敷」という日本の伝統的な部屋の様式や文化的な意味合いが、普遍的な「his room」という訳語に完全に置き換えられており、読者はその固有性を意識せず自国の一般的な部屋と同じものとして処理するため。
618,椿の花,先生は座敷からこの椿の花をよく眺める癖があった。,It had been Sensei's custom to look out from his room and gaze at them.,,them,Generalization,代名詞化は、具体的な名称を避けて一般的な指示語にする処理なので、翻訳技法としては Generalization（一般化） に分類する,True,Minimization,原文の「椿の花」という特定の対象が「them」という漠然とした代名詞に置き換えられており、椿固有の文化的な意味や、それが椿という特定の花であるという固有性が完全に消失しているため。
620,生垣,その時生垣の向うで金魚売りらしい声がした。,I could hear the cry of a goldfish vendor from the lane on the other side of the hedge.,,hedge,Literal translation,原文「生垣」を「hedge」と辞書的な意味通りに直訳し、形式・機能・意味が一致しているため。,True,Minimization,「生垣」が一般的な「hedge」に翻訳されており、読者は自文化にも存在する一般的な垣根として理解するため、日本の「生垣」が持つかもしれない固有性を意識せず、自国の概念に同化させて処理するため。
620,金魚売り,その時生垣の向うで金魚売りらしい声がした。,I could hear the cry of a goldfish vendor from the lane on the other side of the hedge.,,goldfish vendor,Literal translation,「Goldfish（金魚）」＋「Vendor（売り）」の直訳。,True,Minimization,「金魚売り」が持つ日本文化特有の夏の風物詩としての固有性や情緒が「goldfish vendor」という機能的な訳語では伝わらず、読者は自文化に存在する「vendor（行商人）」と等価なものとして処理し、固有の差異を意識しないため。
624,針仕事,黙って針仕事か何かしている奥さんの耳に私の話し声が聞こえるという事も知っていた。,"I knew that Sensei's wife was in the next room, busy at her sewing or some such work. And I knew also that she could hear what we were saying.",,sewing,Established equivalent,原文「針仕事」を、英語圏で慣用的に「裁縫」の意味で用いられる等価語「sewing」で表現しているため。,True,Minimization,「針仕事」が持つ可能性のある日本文化固有のニュアンスや背景が「sewing」という一般的な概念に置き換えられており、読者はその固有性を意識せず自文化の既知の概念と同じものとして処理するため。
632,襖の陰で,私はもう少し先まで同じ道を 辿って行きたかった。すると 襖 の陰で「あなた、あなた」という奥さんの声が二度聞こえた。,"I wanted to pursue the conversation, but we were interrupted by the voice of Sensei's wife, calling him from behind the door.",,behind the door,Generalization,原文「襖」を、より一般的・中立的な用語である「door」に一般化（抽象化）しているため。,True,Minimization,「襖」という日本の固有の建築要素が一般的な「door」に置き換えられており、その機能や文化的意味合いといった固有性が完全に消失し、読者は自国の一般的な扉の裏側と同じものとして処理してしまうため。
676,秋,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。,It was at the time of the year when the days grow shorter and there is everywhere a feeling of restless activity.,,the time of the year when the days grow shorter,Description,原文の「秋」という用語を使わず、日が短くなるという秋の機能的な説明に置き換えているため。,True,Minimization,「秋」という特定の季節名が「the time of the year when the days grow shorter」（日が短くなる時期）という、地球上の多くの地域で普遍的に経験される物理現象の記述に置き換えられており、読者はその文化的要素の固有性を意識することなく、自身の既知の概念と同一視して処理するため。
676,肌寒い,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。,It was at the time of the year when the days grow shorter and there is everywhere a feeling of restless activity.,,なし,Reduction,原文の「肌寒い」という季節の感覚を示す情報が、英訳には明確な形で表現されず完全に省略されているため。,True,Denial,原文にあった「肌寒い」という気温・体感温度を表す要素が、訳文では完全に削除されており、読者はその要素の存在自体を認知できないため。
693,煙草を飲む,私は畏まったまま烟草を飲んでいた。,"sitting stiffly, I began to smoke.",,to smoke,Established equivalent,原文「煙草を飲む」を、英語圏でその行為を表す際に一般的に用いられる定着した表現「to smoke」で対応させているため。,True,Minimization,日本語の「煙草を飲む」という独特な動詞の用法（煙を「飲む」という感覚）が、英訳では「to smoke」という普遍的な表現に完全に置換されており、読者はその固有性を意識せず自文化の既知の行為と同じものとして処理するため。
694,茶の間,奥さんが茶の間で何か下女に話している声が聞こえた。," I could hear Sensei's wife talking to the maid in the morning room, which was along the same corridor as the study.",,morning room,Adaptation,原文「茶の間」という日本の文化的要素を、ターゲット文化圏で類似の機能を持つ「morning room」という特定の部屋に置き換えているため。,True,Minimization,「茶の間」という日本固有の生活空間が、西洋の伝統的な家屋に見られる「morning room」という概念に置き換えられており、読者は「朝食をとったりくつろいだりする部屋」という機能的な類似性から自文化の既知の概念として処理し、茶の間が持つ畳や座卓といった具体的な様式、およびそれに伴う日本の生活文化という固有性は意識されず、失われているため。
694,下女,奥さんが茶の間で何か下女に話している声が聞こえた。," I could hear Sensei's wife talking to the maid in the morning room, which was along the same corridor as the study.",,maid,Literal translation,原文「下女」を「maid」と訳しており、これは「下女」の辞書的な意味の通りに直訳され、形式・機能・意味が一致しているため。,True,Minimization,「下女」という特定の時代と社会構造における日本の家事使用人の概念が、自文化にも存在する「maid」という普遍的な概念に置き換えられており、読者はその固有の社会的・経済的背景や文脈を意識せず、自国の同等な存在として処理するため。
700,鹿爪らしく,そうして客に来た人のように鹿爪らしく控えている私をおかしそうに見た。,"She seemed both surprised and amused when she saw me sitting there, stiff and serious like a strange guest.",,stiff and serious,Description,原文の「鹿爪らしく」という状態を、そのあり方を説明する語句「stiff and serious」に置き換えているため。,True,Minimization,「鹿爪らしく」という、日本の特定の作法や社会規範に由来する堅苦しさのニュアンスが、「stiff and serious」という普遍的な形容詞に置き換えられており、読者はその固有性を意識せず自文化における「堅苦しい」「真面目な」態度と同一視して理解してしまうため。
709,長火鉢,茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,"An iron kettle was singing on a handsome, long brazier in the morning room.",,long brazier,Literal translation,原文「長火鉢」を、その形態「long」と種類「brazier」で説明しているため。,True,Acceptance,「long brazier」という訳語は、西洋にも存在する「brazier」という既知の概念に「long」という形容詞を付加することで、長火鉢の固有の「長い形状」という差異を読者に提示している。さらに、「an iron kettle was singing on it」という文脈が、その特定の用途を示唆しており、読者は自文化のbrazierとは異なる、日本固有の器具としてその差異を認識できるため。
709,鉄瓶,茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,"An iron kettle was singing on a handsome, long brazier in the morning room.",,iron kettle,Literal translation,原文「鉄瓶」を「iron kettle」と、辞書や慣用表現として認められている等価語で対応させているため。,True,Acceptance,「iron kettle」という訳語は「鉄製」という素材を明示することで、一般的な「kettle」（やかん）とは異なる固有の特性（素材、重厚さなど）を示唆しており、日本に関する知識がない読者にも、自文化の一般的なやかんとは「何か違うもの」であるという差異を認識させる可能性があるため。
724,空の盃,空の盃でよくああ飽きずに献酬ができると思いますわ,"I have often wondered how it is that you men can, without becoming bored, forever exchange empty saké cups with one another.",,empty saké cups,Particularization,原文「空の盃」の「盃」を、文脈が示す具体的な用途（酒器）を明示する「saké cups」と訳し、特定の意味合いに具体化しているため。,True,Acceptance,「空の盃」が「empty saké cups」と訳されることで、「saké」という固有の文化的要素が残されており、読者はこれが日本特有の飲酒文化に関連する器であることを認識できる。また、「飽きずに永遠に交換する」という行為に対して発話者が疑問を呈している文脈は、読者Aさんに「私の文化とは異なる、固有の習慣がある」という差異を認識させるが、その習慣の背景や意味に関する補足説明がないため、深い理解には至らないため。
724,献酬,空の盃でよくああ飽きずに献酬ができると思いますわ,"I have often wondered how it is that you men can, without becoming bored, forever exchange empty saké cups with one another.",,forever exchange empty saké cups with one another,Description,原文「献酬（杯のやりとり）」という用語を使わず、その行為の機能（交換）と対象（盃）を具体的に描写した「forever exchange empty saké cups with one another」という説明に置き換えているため。,True,Acceptance,"「献酬」という行為が「forever exchange empty saké cups with one another」と具体的に描写されており、その固有性が保持されている。さらに、「I have often wondered how it is that you men can, without becoming bored,...」という文脈が、読者にこの行為を自文化とは異なる、理解しがたい「差異」として認識させているため。"
773,春の雲,けれどもそれは懐かしい春の雲を眺めるような心持で、ただ漠然と夢みていたに過ぎなかった。,"But the yearning in me was little more than a vague dream, hardly different from the yearning in one's heart when one sees a lovely cloud in the spring sky.",,cloud in the spring sky,Literal translation,「AのB」を「B in the A sky」とするのは、英語の標準的な修飾構造の範疇であり、認知的な視点変更（Modulation）とまでは言えないため、Literal translationが妥当。,True,Minimization,「春の雲」が持つ日本の文化的な情感や感性（「懐かしい」という形容を含む）が、「a lovely cloud in the spring sky」という普遍的な美しい情景として翻訳されており、読者は自文化にも存在する一般的な概念として処理し、その固有性や文化的背景を認識できないため。
792,下女部屋,下女部屋にいる下女はことりとも音をさせなかった。,Not a sound came from the maid's room.,maid's room,下女部屋,Literal translation,原文「下女部屋」を「maid's room」と、構成要素を辞書的な意味通りに直訳し、形式・機能・意味が一致しているため。,True,Minimization,「下女部屋」を「maid's room」と訳しており、英語圏の読者は自文化にも存在する「使用人の部屋」といった既知の概念に置き換え、日本におけるその固有性（歴史的背景や社会的位置づけ、具体的な空間の様相など）を意識しないため。
798,水注,奥さんは火鉢の灰を掻き馴らした。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,She leveled off the cinders in the brazier and poured more water from a jug into the iron kettle. The kettle stopped singing.,,jug,Generalization,「水注」は火鉢や茶道など特定の用途や形状を持つ日本の容器ですが、訳語の「jug」はより中立的・一般的な上位概念（水差し）です。特定の情報（用途、形状、文化性）を抽象化し、その機能（水を注ぐ容器）に限定して訳出しているため、Established equivalentよりもGeneralization。,True,Minimization,「水注」が持つ日本文化固有の形状や文脈を消去し、一般的な「jug」という自文化の既知の概念に置き換えているため、読者はその固有性を意識せず「私の国と同じだ」と処理するため。
798,鉄瓶,奥さんは火鉢の灰を掻き馴らした。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,She leveled off the cinders in the brazier and poured more water from a jug into the iron kettle. The kettle stopped singing.,,iron kettle,Literal translation,原文「鉄瓶」を「iron kettle」と、各構成要素が辞書的な意味通りに直訳され、形式・機能・意味が一致しているため。,True,Minimization,「鉄瓶」を「iron kettle」と訳すことで、読者はこれを自文化の既知の概念である「kettle」（やかん）の一種として処理し、その形状や文化的な背景といった「鉄瓶」本来の固有性が読者に伝わらず、違いが意識されないため。
858,下女,下女だけは仮寝でもしていたとみえて、ついに出て来なかった。,"The maid, who was probably dozing in her room, failed to appear in the front hall to greet her master.",,maid,Literal translation,「下女」を「The maid」と訳しており、辞書的な意味通り、形式・機能・意味が一致する直訳であるため。,True,Minimization,「下女」を一般的な「maid」に置き換えており、読者はその背後にある日本の特定の社会的・歴史的文脈や身分制度といった固有性を意識せず、自文化の「お手伝いさん」や「家政婦」など既知の概念と同じものとして処理してしまうため。
871,西洋菓子,奥さんはそういいながら、先刻出した西洋菓子の残りを、紙に包んで私の手に持たせた。,"She then gave me the rest of the cakes, wrapped in a piece of paper, to take home.",,cakes,Particularization,「西洋菓子（Western confectionery）」という上位概念を、そこに含まれる「cakes」というより具体的な下位概念に置き換えているため,True,Minimization,「西洋菓子」という概念が持つ「西洋起源であること」という固有性や、和菓子との対比で日本文化に根付いた洋菓子の位置づけといった意味合いが、「cakes」という普遍的な訳語に置き換えられることで失われているため。
879,鳶色,すぐその中からチョコレートを塗った鳶色のカステラを出して頰張った。,"I opened it and, choosing a cake covered with chocolate, I began to eat it.",,なし,Reduction,原文「鳶色」に相当する色情報が訳文の「cake」から完全に省略されているため。,True,Denial,原文にあった「鳶色」という色彩情報が英訳では「covered with chocolate」という記述に置き換わる形で完全に削除されており、読者はその要素の存在自体を認知できないため。
885,繻絆,私は先生の 宅 へ 出 はいりをするついでに、衣服の 洗い張りや 仕立て 方 などを奥さんに頼んだ。それまで繻絆というものを着た事のない私が、シャツの上に黒い襟のかかったものを重ねるようになったのはこの時からであった。,"I began to take my clothes to Sensei's wife to be mended, and it was then too that I began to be more careful in my dress.",,be more careful in my dress,Reduction,原文の「繻絆」という特定の衣類に関する情報が、訳文では「be more careful in my dress」という一般的な表現の中に吸収され、完全に省略されているため。,True,Minimization,「繻絆」という特定の衣服の名称や形状、機能といった文化的固有性が失われ、「be more careful in my dress」というどの文化にも共通する身だしなみへの注意という普遍的な概念に置き換えられているため、読者はその固有性を意識せず自文化の既知の概念として処理するため。
914,五徳,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,"Into this sunny room, Sensei had brought a large brazier. A metal basin, filled with water, had been placed on it so that the steam rising from it might ease Sensei's breathing.",,on it ,Reduction,原文の「五徳」という要素が訳文では省略され、金盥が「火鉢の上に（on it）」置かれるという表現に情報が還元されたため。,True,Minimization,原文の「五徳」という火鉢の上に設置される特定の器具が、英訳では直前の「brazier」（火鉢）を指す「on it」という一般的な位置関係の表現に置換されており、文化的要素の固有性や具体的な機能が失われ、読者は自文化の普遍的な概念（何かの上に置くこと）として処理するため。
914,金盥,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,"Into this sunny room, Sensei had brought a large brazier. A metal basin, filled with water, had been placed on it so that the steam rising from it might ease Sensei's breathing.",,A metal basin,Literal translation,"原文「金盥」を「A metal basin」と訳しており、「金」を""metal""、「盥」を""basin""と、それぞれの語句を辞書的な意味通りに直訳し、形式・機能・意味が一致しているため。",True,Adaptation,「金盥」を「A metal basin」という普遍的な概念に置き換えつつも、それが「水で満たされ、火鉢の上に置かれ、湯気で呼吸を楽にする」という具体的な機能と文脈が詳細に説明されており、読者はその異文化における使われ方を論理的に理解し共感できるため。
926,茶箪笥,それを奥の茶簞笥か何かの抽出から出して来た奥さんは、白い半紙の上へ鄭寧に重ねて、「そりゃご心配ですね」といった。,"She returned and, politely placing the money on a sheet of white paper, said, ""You must be worried.""",,returned,Reduction,原文「茶箪笥」という文化的要素を含む「抽出から出して来た」という行動が「returned」と訳され、その場所の情報が完全に省略されているため。,True,Denial,原文の「茶箪笥」という特定の家具とその機能（何かを収納し、そこから取り出す場所）に関する情報が、英訳では「returned」という一般的な「戻ってきた」という動作に完全に集約され削除されており、読者はその文化的要素の存在自体を認知できないため。
936,胡座,それでも着いた時は、床の上に胡坐をかいて、,"When I returned, I found him sitting up in bed. ",,sitting up in bed,Generalization,胡座（あぐら）」という具体的な座り方を、「sitting up in bed」という一般的な姿勢に置き換えているため,True,Minimization,「胡座」という特定の座り方（床に座る、脚を組むなど）の固有性が失われ、「sitting up in bed」という一般的な「ベッドに座っている」状態に置き換えられているため、読者はその文化的な違いを認識せず、自文化の既知の概念として処理すると考えられる。
940,不承無性,母は不承無性に太織りの蒲団を畳みながら「お父さんはお前が帰って来たので、急に気が強くおなりなんだよ」といった。,"""Because you are here, your father has convinced himself that he is better,"" my mother said",,なし,Reduction,原文の「不承無性」という母の心理描写が、英訳には対応する表現として完全に省略されているため。,True,Denial,原文にあった「不承無性」という心情・様態の描写、およびそれが付随する動作（蒲団を畳む）に関する情報が英訳では完全に削除されており、読者はこの文化的要素の存在自体を認知できないため。
943,九州,私の兄はある職を帯びて遠い九州にいた。これは万一の事がある場合でなければ、容易に父母の顔を見る自由の利かない男であった。,"My elder brother worked in distant Kyushu, and therefore could not visit my parents, unless he felt that there was a pressing need for him to do so.",,Kyushu,Borrowing,原文「九州」を「Kyushu」と音写し、英訳にも注釈にも補足説明を加えていないため。,True,Acceptance,「Kyushu」をそのまま音写しており、「distant」という形容詞で遠隔地であることのみを伝えているため、読者はその場所が自文化とは異なる固有名詞であるという差異を認識するが、それ以上の具体的な情報や文脈的理解には至らないため。
957,正月,正月上京する時に持参するからそれまで待ってくれるようにと断わった。,"I said that I would be returning to Tokyo in January and that, if he did not mind, I would wait till then to repay him.",,January,Generalization,原文「正月」という特定の新年期間を示す語を、より一般的・中立的な月名「January」に一般化しているため。,True,Minimization,「正月」という日本の固有の文化的意味合いを持つ期間が、単に暦の「January」に置き換えられており、読者はその文化的固有性を認識できず、自文化の一般的な月と同一視するため。
957,上京,正月上京する時に持参するからそれまで待ってくれるようにと断わった。,"I said that I would be returning to Tokyo in January and that, if he did not mind, I would wait till then to repay him.",,returning to Tokyo,Modulation,[視点の反転]「上京（都へ行く）」に対し、「Returning（戻る）」という視点変更を含んでいるため。,True,Minimization,「上京」が持つ「地方から都の中心である東京へ向かう」という日本固有の文化的・社会的な含意が「returning to Tokyo」という普遍的な移動表現に置き換えられており、読者はその固有性を意識せず自文化の既知の概念と同じものとして処理するため。
963,東京,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,"""When you go back to Tokyo, why don't you take him some dried mushrooms?""",,Tokyo,Borrowing,原文「東京」を「Tokyo」と音写（ローマ字化）しており、補足説明を一切加えていないため。,True,Acceptance,「Tokyo」が音写された固有名詞としてそのまま提示されており、読者はそれが「私の国とは違う固有名詞の場所」として存在することを受け入れ、差異を認識できるため。
