Location,Note,Highlight_JP,Highlight_EN,注釈,文化的要素の対応訳,翻訳技法,翻訳技法の選出理由,技法検閲有無
724,空の盃,空の盃でよくああ飽きずに献酬ができると思いますわ,"I have often wondered how it is that you men can, without becoming bored, forever exchange empty saké cups with one another.",,empty saké cups,Particularization,原文「空の盃」の「盃」を、文脈が示す具体的な用途（酒器）を明示する「saké cups」と訳し、特定の意味合いに具体化しているため。,TRUE
724,献酬,空の盃でよくああ飽きずに献酬ができると思いますわ,"I have often wondered how it is that you men can, without becoming bored, forever exchange empty saké cups with one another.",,forever exchange empty saké cups with one another,Description,原文「献酬（杯のやりとり）」という用語を使わず、その行為の機能（交換）と対象（盃）を具体的に描写した「forever exchange empty saké cups with one another」という説明に置き換えているため。,TRUE
773,春の雲,けれどもそれは懐かしい春の雲を眺めるような心持で、ただ漠然と夢みていたに過ぎなかった。,"But the yearning in me was little more than a vague dream, hardly different from the yearning in one's heart when one sees a lovely cloud in the spring sky.",,cloud in the spring sky,Literal translation,「AのB」を「B in the A sky」とするのは、英語の標準的な修飾構造の範疇であり、認知的な視点変更（Modulation）とまでは言えないため、Literal translationが妥当。,TRUE
792,下女部屋,下女部屋にいる下女はことりとも音をさせなかった。,Not a sound came from the maid's room.,maid's room,下女部屋,Literal translation,原文「下女部屋」を「maid's room」と、構成要素を辞書的な意味通りに直訳し、形式・機能・意味が一致しているため。,TRUE
798,水注,奥さんは火鉢の灰を掻き馴らした。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,She leveled off the cinders in the brazier and poured more water from a jug into the iron kettle. The kettle stopped singing.,,jug,Generalization,「水注」は火鉢や茶道など特定の用途や形状を持つ日本の容器ですが、訳語の「jug」はより中立的・一般的な上位概念（水差し）です。特定の情報（用途、形状、文化性）を抽象化し、その機能（水を注ぐ容器）に限定して訳出しているため、Established equivalentよりもGeneralization。,TRUE
798,鉄瓶,奥さんは火鉢の灰を掻き馴らした。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,She leveled off the cinders in the brazier and poured more water from a jug into the iron kettle. The kettle stopped singing.,,iron kettle,Literal translation,原文「鉄瓶」を「iron kettle」と、各構成要素が辞書的な意味通りに直訳され、形式・機能・意味が一致しているため。,TRUE
858,下女,下女だけは仮寝でもしていたとみえて、ついに出て来なかった。,"The maid, who was probably dozing in her room, failed to appear in the front hall to greet her master.",,maid,Literal translation,「下女」を「The maid」と訳しており、辞書的な意味通り、形式・機能・意味が一致する直訳であるため。,TRUE
871,西洋菓子,奥さんはそういいながら、先刻出した西洋菓子の残りを、紙に包んで私の手に持たせた。,"She then gave me the rest of the cakes, wrapped in a piece of paper, to take home.",,cakes,Particularization,「西洋菓子（Western confectionery）」という上位概念を、そこに含まれる「cakes」というより具体的な下位概念に置き換えているため,TRUE
879,鳶色,すぐその中からチョコレートを塗った鳶色のカステラを出して頰張った。,"I opened it and, choosing a cake covered with chocolate, I began to eat it.",,なし,Reduction,原文「鳶色」に相当する色情報が訳文の「cake」から完全に省略されているため。,TRUE
885,繻絆,私は先生の 宅 へ 出 はいりをするついでに、衣服の 洗い張りや 仕立て 方 などを奥さんに頼んだ。それまで繻絆というものを着た事のない私が、シャツの上に黒い襟のかかったものを重ねるようになったのはこの時からであった。,"I began to take my clothes to Sensei's wife to be mended, and it was then too that I began to be more careful in my dress.",,be more careful in my dress,Generalization,「繻絆を着る」という 「具体的な行為・物体（下位概念）」 が、「身だしなみを整える」という 「包括的な概念・状態（上位概念）」 に置き換えられているため。,TRUE
914,五徳,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,"Into this sunny room, Sensei had brought a large brazier. A metal basin, filled with water, had been placed on it so that the steam rising from it might ease Sensei's breathing.",,on it ,Generalization,「五徳」は火鉢という暖房器具一式を構成する「部品（下位概念・部分）」であるのに対して訳文の "it"（＝brazier/火鉢）は、五徳を含む「器具全体（上位概念・全体）」を指すため。,TRUE
914,金盥,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,"Into this sunny room, Sensei had brought a large brazier. A metal basin, filled with water, had been placed on it so that the steam rising from it might ease Sensei's breathing.",,A metal basin,Literal translation,"原文「金盥」を「A metal basin」と訳しており、「金」を""metal""、「盥」を""basin""と、それぞれの語句を辞書的な意味通りに直訳し、形式・機能・意味が一致しているため。",TRUE
926,茶箪笥,それを奥の茶簞笥か何かの抽出から出して来た奥さんは、白い半紙の上へ鄭寧に重ねて、「そりゃご心配ですね」といった。,"She returned and, politely placing the money on a sheet of white paper, said, ""You must be worried.""",,returned,Reduction,原文「茶箪笥」という文化的要素を含む「抽出から出して来た」という行動が「returned」と訳され、その場所の情報が完全に省略されているため。,TRUE
936,胡座,それでも着いた時は、床の上に胡坐をかいて、,"When I returned, I found him sitting up in bed. ",,sitting up in bed,Generalization,胡座（あぐら）」という具体的な座り方を、「sitting up in bed」という一般的な姿勢に置き換えているため,TRUE
940,不承無性,母は不承無性に太織りの蒲団を畳みながら「お父さんはお前が帰って来たので、急に気が強くおなりなんだよ」といった。,"""Because you are here, your father has convinced himself that he is better,"" my mother said",,なし,Reduction,原文の「不承無性」という母の心理描写が、英訳には対応する表現として完全に省略されているため。,TRUE
943,九州,私の兄はある職を帯びて遠い九州にいた。これは万一の事がある場合でなければ、容易に父母の顔を見る自由の利かない男であった。,"My elder brother worked in distant Kyushu, and therefore could not visit my parents, unless he felt that there was a pressing need for him to do so.",,Kyushu,Borrowing,原文「九州」を「Kyushu」と音写し、英訳にも注釈にも補足説明を加えていないため。,TRUE
957,正月,正月上京する時に持参するからそれまで待ってくれるようにと断わった。,"I said that I would be returning to Tokyo in January and that, if he did not mind, I would wait till then to repay him.",,January,Generalization,原文「正月」という特定の新年期間を示す語を、より一般的・中立的な月名「January」に一般化しているため。,TRUE
957,上京,正月上京する時に持参するからそれまで待ってくれるようにと断わった。,"I said that I would be returning to Tokyo in January and that, if he did not mind, I would wait till then to repay him.",,returning to Tokyo,Modulation,[視点の反転]「上京（都へ行く）」に対し、「Returning（戻る）」という視点変更を含んでいるため。,TRUE
963,東京,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,"""When you go back to Tokyo, why don't you take him some dried mushrooms?""",,Tokyo,Borrowing,原文「東京」を「Tokyo」と音写（ローマ字化）しており、補足説明を一切加えていないため。,TRUE
963,椎茸,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,"""When you go back to Tokyo, why don't you take him some dried mushrooms?""",,dried mushrooms,Generalization,原文「椎茸」という特定のキノコを、より一般的な「乾燥したきのこ（dried mushrooms）」に一般化しているため。,TRUE
978,将棋盤,私は退屈な父の相手としてよく将碁盤に向かった。,"To help my father forget his boredom, I often played chess with him. ",,chess,Adaptation,原文の「将棋盤」が意味する「将棋」というゲームが、ターゲット文化圏で機能的に等しい「chess」に置き換えられているため。,TRUE
979,炬燵,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,"We were both by nature very lazy. We would sit on the floor with a footwarmer between us, and a large quilt covering the footwarmer and our bodies from the waist down.After every move, we would put our hands back under the quilt, determined not to sacrifice comfort for the sake of the game.",,a footwarmer between usand a large quilt covering the footwarmer and our bodies from the waist down,Description,原文「炬燵」を、用語を使わずその機能（footwarmer）と形態（quilt）で説明しているため。,TRUE
979,櫓,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,"We were both by nature very lazy. We would sit on the floor with a footwarmer between us, and a large quilt covering the footwarmer and our bodies from the waist down.After every move, we would put our hands back under the quilt, determined not to sacrifice comfort for the sake of the game.",,なし,Reduction,"Reduction,原文の「櫓」という情報が、訳文で一切言及されず完全に省略されているため。",TRUE
983,火箸,それを母が灰の中から見付け出して、火箸で挟み上げるという滑稽もあった。," It amused us all when once my mother found the lost pieces among the cinders in the footwarmer, and had to retrieve them with a pair of tongs.",,a pair of tongs,Generalization,原文の「火箸」という特定の挟み道具が、訳文ではより一般的な「tongs」（挟み道具全般）に一般化されているため。,TRUE
984,碁,「碁 だと盤が高過ぎる上に、足が着いているから、炬燵の上では打てないが、そこへ来ると将碁盤は 好いね、こうして楽に差せるから。無精者には持って来いだ。もう一番やろう」,"""One good thing about chess is that we can play it in this comfortable position,"" my father once said. ""It's an ideal game for lazy people like us. The trouble with go is that the board is too high--and it has legs too--and we couldn't very well put it between us on the foot warmer and play on it... How about another game of chess?""",go : kind of checkers.,go,Amplification,原文「碁」を「go」と音写し、さらに注釈で「kind of checkers.」と説明（増幅）を加えているため。,TRUE
991,金,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,"At times, in the middle of a game, I would find myself yawning heavily.",,なし,Reduction,原文の「金」という将棋の駒に関する情報が、訳文では「in the middle of a game」と一般化され、具体性が完全に省略されているため。,TRUE
991,香車,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,"At times, in the middle of a game, I would find myself yawning heavily.",,なし,Reduction,原文の「香車」という将棋の駒に関する情報が、訳文では「in the middle of a game」と一般化され、具体性が完全に省略されているため。,TRUE
998,将棋,それでいて、この将碁を差したがる父は、単なる娯楽の相手としても私には物足りなかった。かつて遊興のために 往来 をした 覚えのない先生は、歓楽の交際から出る親しみ以上に、いつか私の頭に影響を与えていた。,"But while my chess-loving father failed even to entertain me, Sensei, whose acquaintance I had never sought for amusement's sake, gave me far greater intellectual satisfaction as a companion.",,chess,Adaptation,原文「将碁」という文化的要素を、ターゲット文化圏で機能的に近い「chess」に置き換えているため。,TRUE
1010,儒者,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。," As someone in days gone by might have put it, it was like introducing the smell of a Christian into the home of a Confucianist.",,Confucianist,Established equivalent,原文「儒者」を、英語圏で定着している訳語「Confucianist」で対応させているため。,TRUE
1010,切支丹,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。," As someone in days gone by might have put it, it was like introducing the smell of a Christian into the home of a Confucianist.",,Christian,Generalization,原文の「切支丹」が持つ日本の特定の歴史的・文化的文脈を排し、より一般的で中立的な「キリスト教徒」を意味する「Christian」に一般化しているため。,TRUE
1021,松飾,東京へ帰ってみると、松飾はいつか取り払われていた。,"When I returned to Tokyo, I discovered that all the New Year decorations had already been taken down.",,New Year decorations,Generalization,原文「松飾」を、より一般的・中立的な「New Year decorations（新年の飾り）」という用語に置き換えているため。,TRUE
1021,正月,町は寒い風の吹くに任せて、どこを見てもこれというほどの正月めいた景気はなかった。," I detected little of the New Year spirit as I walked about the cold, windy streets.",,New Year spirit,Established equivalent,キーワード「正月」が、英語圏で定着している等価語「New Year spirit」で訳されているため。,TRUE
1094,好事家,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,"If I was not at my desk, I was in the gloomy library, hurriedly scanning the titles on the high shelves, as though I were some kind of curio-hunter.",,curio-hunter,Particularization,文脈（骨董を掘り出す）から、「好事家」が「curio-hunter（骨董収集家）」という具体的なタイプに特定されているため,TRUE
1094,骨董,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,"If I was not at my desk, I was in the gloomy library, hurriedly scanning the titles on the high shelves, as though I were some kind of curio-hunter.",,curio,Established equivalent,原文「骨董」を、英語圏でその意味合いに合致する定着した等価語「curio」（curio-hunterの一部）で対応させているため。,TRUE
1098,敷居を跨がなかった,私はついに四月の下旬が来て、やっと予定通りのものを書き上げるまで、先生の敷居を跨がなかった。,"I did not visit Sensei once before the latter part of April, by which time I had finally completed my thesis.",,did not visit,Reduction,「敷居を跨ぐ」という慣用句が持つ文化的要素/メタファー（敷居、境界線）が訳文から完全に省略され、「訪問しない」という動詞のみに還元されているため。,TRUE
1101,八重桜,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,"I was free at last, when the double cherry blossoms had all fallen and in their place misty green leaves had begun to grow. It was the beginning of summer.",,double cherry blossoms,Literal translation,原文「八重桜」を「double cherry blossoms」と訳す際、「八重」を「double」、「桜」を「cherry blossoms」と、語句の構成要素を逐語訳しているため。,TRUE
1101,初夏,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,"I was free at last, when the double cherry blossoms had all fallen and in their place misty green leaves had begun to grow. It was the beginning of summer.",,the beginning of summer,Literal translation,「初（Beginning）」＋「夏（Summer）」という構成要素ごとの直訳。,TRUE
1104,枳殻,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,"On my way to his house, I noticed the young buds on the twigs of the quince hedges bursting into leaf, and I saw too the shiny brown leaves of the pomegranate trees softly reflecting the sunlight. ",,quince hedges,Adaptation,原文の「枳殻」という日本の特定の植物（からたち）を、英語圏で生垣としても用いられるが、植物としては異なる「quince」（機能的に同等だが、異なる種類の植物に置き換えているため。,TRUE
1104,柘榴,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,"On my way to his house, I noticed the young buds on the twigs of the quince hedges bursting into leaf, and I saw too the shiny brown leaves of the pomegranate trees softly reflecting the sunlight. ",,pomegranate trees,Literal translation,原文「柘榴」を英語圏で定着している等価語「pomegranate trees」で対応させているため。,TRUE
1134,躑躅,躑躅が燃えるように咲き乱れていた。,All about us azaleas flamed in all their splendor.,,azaleas,Literal translation,原文「躑躅」を、英語圏で定着している訳語「azaleas」で対応させているため。,TRUE
1135,霧島,先生はそのうちで樺色の丈の高いのを指して、「これは霧島でしょう」といった。,"Sensei pointed to an azalea which grew taller than the others and was reddish-yellow in color. ""That is what we call 'Kirishima,' I think,"" he said.","Kirishima : Literally, this means ""mist island.""",Kirishima,Amplification,"原文「霧島」を「Kirishima」と音写し、注釈で「Literally, this means ""mist island.""」と詳細な説明（増幅）を加えているため。",TRUE
1137,芍薬,芍薬も十坪あまり一面に植え付けられていたが、まだ季節が来ないので花を着けているのは一本もなかった。,There were also peonies covering all area of about ten tsubo. It was too early in the summer for them to be in bloom.,ten tsubo : Ten tsubo is about forty square yards.,peonies,Literal translation,原文「芍薬」を「peonies」と辞書的な意味通りに直訳し、形式・機能・意味が一致しているため。,TRUE
1137,十坪,芍薬も十坪あまり一面に植え付けられていたが、まだ季節が来ないので花を着けているのは一本もなかった。,There were also peonies covering all area of about ten tsubo.  It was too early in the summer for them to be in bloom.,ten tsubo : Ten tsubo is about forty square yards.,ten tsubo,Amplification,原文「十坪」を「ten tsubo」と音写し、さらに注釈で「about forty square yards」と補足説明（増幅）しているため。,TRUE
1210,杉苗,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,"Behind the bench, and next to the cedar saplings, dwarf bamboos grew thickly over a small patch of ground.",,cedar saplings,Literal translation,原文「杉苗」を「cedar saplings」と辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,TRUE
1210,熊笹,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,"Behind the bench, and next to the cedar saplings, dwarf bamboos grew thickly over a small patch of ground.",,dwarf bamboos,Literal translation,「熊笹」を「dwarf bamboos」で辞書的に対応させているため。,TRUE
1210,三坪,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,"Behind the bench, and next to the cedar saplings, dwarf bamboos grew thickly over a small patch of ground.",,a small patch of ground,Generalization,原文の具体的な面積単位「三坪」を、より一般的・抽象的な「a small patch of ground」に一般化しているため。,TRUE
1219,蟇口,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,"He pulled out his purse and, finding a five-sen piece, gave it to the boy.",,purse,Generalization,原文「蟇口」という特定の形状を持つ財布を、より一般的な「purse」に一般化しているため。,TRUE
1219,五銭,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,"He pulled out his purse and, finding a five-sen piece, gave it to the boy.",,five-sen,Borrowing,"原文「銭」を""sen""とそのまま音訳しているから。",TRUE
1223,斥候長,「今斥候長になってるところなんだよ」,"""At the moment, I am chief of the army scouts,""",,chief of the army scouts,Literal translation,「斥候（scout/army scout）」＋「長（chief）」という辞書的な直訳を並べた表現であり、英語として自然な範疇にあるため。,TRUE
1238,楓,眼の前にある樹は大概楓であったが、その枝に滴るように吹いた軽い緑の若葉が、段々暗くなって行くように思われた。,"And before us, the delicate, green maple leaves, which looked like drops of water just about to fall from the branches, seemed to grow darker in color.",,maple leaves,Literal translation,原文「楓」を「maples」と辞書的な意味通りに直訳し、形式・機能・意味が一致しているため。,TRUE
1240,縁日,私はそれを村の男が植木か何かを載せて縁日へでも出掛けるものと想像した。,I imagined that a man from the village had loaded his cart with plants or vegetables and was on his way to some fair to sell them.,,fair,Generalization,原文の「縁日」が持つ特定の宗教的・文化的なニュアンスを、より広範で一般的な意味を持つ「fair」（市、祭り）に置き換えているため。,TRUE
1304,不徳義漢,私の父の前には善人であったらしい彼らは、父の死ぬや否や許しがたい不徳義漢に変ったのです。,"When my father was alive, they behaved like decent people. But as soon as he died they turned into scoundrels.",,scoundrels,Particularization,原文「不徳義漢」という一般的な道徳概念を、文脈に沿いより具体的で強い悪意を示す「scoundrels」（悪党）に具体化しているため。,TRUE
1352,行李,卒業式の日、私は黴臭くなった古い冬服を行李の中から出して着た。,"On the day of the graduation ceremony, I brought out my old and musty winter uniform from my suitcase and put it on.",,suitcase,Adaptation,「行李（こうり）」は竹や柳で編んだ収納具という特定の形態を持つ日本の文化要素です。これを、機能は同じだが形態も文化も異なる現代西洋の「suitcase」に置き換えているため,TRUE
1354,厚羅紗,私は風の通らない厚羅紗の下に密封された自分の身体を持て余した。,My body felt as if it had been sealed in an airtight envelope of thick wool.,,thick wool,Generalization,「羅紗（ラシャ）」は「毛織物の一種（具体的な製品名/織り方）」です。これを「wool（羊毛/素材）」と訳すのは、**「特定の布地（下位概念）」を「その素材（上位概念）」で表現する操作であるため。,TRUE
1366,箸,先生のうちで飯を食うと、きっとこの西洋料理店に見るような白いリンネルの上に、箸や茶碗が置かれた。,"As always when I dined at Sensei's, I found the bowls and chopsticks neatly laid out on white linen such as one sees in the European-style restaurants.",,chopsticks,Literal translation,原文「箸」を「chopsticks」辞書的に直訳しているため。,TRUE
1366,茶碗,先生のうちで飯を食うと、きっとこの西洋料理店に見るような白いリンネルの上に、箸や茶碗が置かれた。,"As always when I dined at Sensei's, I found the bowls and chopsticks neatly laid out on white linen such as one sees in the European-style restaurants.",,bowls,Generalization,原文の「茶碗」という特定の食事用容器を、より一般的で広範な意味を持つ「bowls」に一般化しているため。,TRUE
1374,着物,奥さんは「でも着物などは、それほど気にしないようですよ」と答えた事があった。," ""Perhaps so,"" she said. ""But when it comes to clothes, he certainly is not overcareful.""",,clothes,Generalization,原文「着物」という特定の文化要素を、より一般的な意味を持つ「clothes」という用語に置き換えているため。,TRUE
1381,盃,「お目出とう」といって、先生が私のために杯を上げてくれた。私はこの盃に対してそれほど嬉しい気を起さなかった。,"""Congratulations,"" Sensei said, and raised his saké cup to me. The gesture did not make me particularly happy,",,The gesture,Modulation,[モノ -> 行為]物理的な対象物（盃）を、先生が杯を上げたという行為全体（The gesture/振る舞い）に焦点を移して表現し直しているため。,TRUE
1381,杯,「お目出とう」といって、先生が私のために杯を上げてくれた。私はこの盃に対してそれほど嬉しい気を起さなかった。,"""Congratulations,"" Sensei said, and raised his saké cup to me. The gesture did not make me particularly happy, ",,saké cup,Amplification,原文の「杯」は文脈上「酒盃」を指すが、語句自体に「酒」の意味は明示されていない。翻訳者は「saké」という語を補うことで、原文の暗黙の情報をターゲット読者に向けて明示化（増幅）しているため。,TRUE
1405,アイスクリーム,奥さんは下女を呼んで食卓を片付けさせた後へ、改めてアイスクリームと水菓子を運ばせた。,"Sensei's wife, it seemed, had so little to do in the house that she could, if she wished, serve her guests homemade ice cream. ",,homemade ice cream,Amplification,「アイスクリーム」に原文にない情報である「homemade（自家製の）」を付け加えているため。,TRUE
1405,水菓子,奥さんは下女を呼んで食卓を片付けさせた後へ、改めてアイスクリームと水菓子を運ばせた。,"Sensei's wife, it seemed, had so little to do in the house that she could, if she wished, serve her guests homemade ice cream. ",,なし,Reduction,原文の「水菓子」という文化的要素が英訳の「homemade ice cream」で完全に省略されているため。,TRUE
1488,団扇,先生は手に持った団扇をわざとばたばたいわせた。,Sensei made as much noise as he could with his fan.,,fan,Generalization,原文の「団扇」という特定の形状を持つ扇を、より一般的で中立的な「fan」という用語に置き換えているため。,TRUE
1493,古本屋,「古本屋に売るさ」,"""You can sell them to some secondhand bookshop.""",,secondhand bookshop,Literal translation,「古（Secondhand）」＋「本（Book）」＋「屋（Shop）」という構成要素ごとの直訳であり、英語としても自然なため。,TRUE
1500,縁起でもない,縁喜でもない。,It's unlucky to talk like that.,,It's unlucky to talk like that.,Established equivalent,"「縁起でもない」は ""ill-omened"" や ""unlucky"" と訳すのが辞書的にも慣習的にも標準です。",TRUE
1505,木犀,玄関と門の間にあるこんもりした木犀の一株が、私の行手を塞ぐように、夜陰のうちに枝を張っていた。,"Between the house and the outer gate there was a bushy osmanthus tree. It spread its branches into the night, as if to block my way. ",,osmanthus tree,Literal translation,辞書的に訳しているから。,TRUE
1523,田舎者,私は電車の中で汗を拭きながら、他の時間と手数に気の毒という観念をまるでもっていない田舎者を憎らしく思った。,"And as I sat in the tram, wiping the perspiration from my face, I began to hate country people who were always ready to bother others busier than themselves with annoying requests.",,country people,Literal translation,「田舎（Country）」＋「者（people）」という構成要素ごとの直訳。,TRUE
1527,丸善,私は半日を丸善の二階で潰す覚悟でいた。私は自分に関係の深い部門の書籍棚の前に立って、隅から隅まで一冊ずつ点検して行った。,"I went to the Maruzen Bookshop, and, prepared to spend half the day there if need be, I examined carefully all the books that dealt with my subject of study.",,Maruzen Bookshop,Amplification,原文「丸善」を「Maruzen」と借用しつつ、「Bookshop」という詳細説明を加えて増幅しているため。,TRUE
