Location,Highlight_JP,Note,Highlight_EN,Similarity,注釈,文化的要素の英訳句/語,ヴィネイとダルベルネの翻訳7分類,ベネットの異文化感受性モデル,備考
632,すると襖の陰で「あなた」という奥さんの声が二度聞こえた。,襖の陰で,But just then we heard his wife calling him twice behind the sliding-doors.,0.6474490166,,behind the sliding-doors,直訳,最小化,「襖」を「sliding-doors」と直訳することで、日本固有の建具としての特徴を強調せず、一般的な物理的記述に収束させている。
676,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。,秋,"It was late autumn, and in these chilly days, no one could be indifferent to the atomosphere of bustle which attended the shortening day.",0.8380932808,,autumn,直訳,最小化,「秋」を「autumn」と直訳し、英語圏にも一般的な概念に収束させることで文化的な固有性を最小化している。
676,その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。,肌寒い,"It was late autumn, and in these chilly days, no one could be indifferent to the atomosphere of bustle which attended the shortening day.",0.8380932808,,chilly,直訳,最小化,「肌寒」を「chilly」と直訳することで、日本固有の感覚ではなく、英語圏にも共通する一般的な「肌寒さ」として提示し、文化差を最小化している。
693,私は畏まったまま烟草を飲んでいた。奥さん～～聞こえた。,煙草を飲む,"I remained in a formal attitude, smoking, and could hear the sensei's wife talking to the maid in the sitting-room.",0.7612641454,,smoking,等価,最小化,原文「煙草を飲む」という慣用表現を、英語圏で等価かつ一般的な「smoking」で表現し、日本語固有の表現の特殊性を普遍的な行為として最小化している。
694,私は畏ま～～飲んでいた。奥さんが茶の間で何か下女に話している声が聞こえた。,茶の間,"I remained in a formal attitude, smoking, and could hear the sensei's wife talking to the maid in the sitting-room.",0.6034648418,,sitting-room,等価,適応,「茶の間」を「sitting-room」と訳し、日本固有の空間を英語圏の具体的な部屋に置き換え、機能的な等価性を保っている。
694,私は畏ま～～飲んでいた。奥さんが茶の間で何か下女に話している声が聞こえた。,下女,"I remained in a formal attitude, smoking, and could hear the sensei's wife talking to the maid in the sitting-room.",0.6034648418,,the maid,等価,最小化,「下女」を英語圏でも一般的な「the maid」に等価置換することで、日本固有の社会的背景を強調せず、文化的な違和感を最小化している。
700,「おや」といって～～私に向けた。そうして客に来た人のように鹿爪らしく控えている私をおかしそうに見た。,鹿爪らしく,"”Why,” she said, looking in, half surprised at me sitting formally like a guest. It seemed to appear ridiculous to her.",0.6826357841,,formally,直訳,最小化,「鹿爪らしく」を「formally」と直訳し、日本固有の客としての作法を、英語圏でも一般的な「堅苦しい」という上位概念に収束させ、文化差を最小化している。
709,私は奥さん～～書斎を出た。茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,長火鉢,"I followed her to the sitting-room, where an  iron tea-kettle was singing pleasantly on a beautifully  polished oblong brazier.",0.5557203889,,oblong brazier,直訳,最小化,「長火鉢」を「oblong brazier」と直訳し、日本固有性を細長い形状の「火鉢（brazier）」という物理的記述と一般的な概念に収束させ、文化的な違和感を最小化している。
709,私は奥さん～～書斎を出た。茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,鉄瓶,"I followed her to the sitting-room, where an  iron tea-kettle was singing pleasantly on a beautifully  polished oblong brazier.",0.5557203889,,an iron tea-kettle,直訳,最小化,原文の「鉄瓶」を「an iron tea-kettle」と直訳し、日本固有の特性を物理的記述に収束させ、文化的な違和感を最小化している。
724,空の盃でよくああ飽きずに献酬ができると思いますわ,空の盃,I wonder why they don’t get tired offering and taking quite empty cups.,0.5077880621,,empty cups,直訳,最小化,「空の盃」を「empty cups」と直訳することで、日本の献酬文化に特有のニュアンスが薄まり、普遍的な「空の容器」という物理的記述に収束させている。
724,空の盃でよくああ飽きずに献酬ができると思いますわ,献酬,I wonder why they don’t get tired offering and taking quite empty cups.,0.5077880621,,offering and taking,転換,最小化,原文「献酬」を「offering and taking」と転換し、日本固有の酒席の儀礼を普遍的な動作に一般化・抽象化して文化差を最小化している。
773,けれどもそれは懐かしい春の雲を眺めるような心持で、ただ漠然と夢みていたに過ぎなかった。,春の雲,"But it was like the feeling  which takes possession of us when we look upon  the lovely clouds of spring, a mere indefinite longing.",0.7555196881,,clouds of spring,直訳,最小化,原文「春の雲」を「clouds of spring」と直訳することで、日本固有の情緒を強調せず、普遍的な季節の風景として読者に提示している。
792,下女部屋にいる下女はことりとも音をさせなかった。私は～～忘れてしまった。,下女部屋,"No sound was heard from the maid in the servant's room, and the thought of the thief had disappeared entirely from my mind.",0.6976799965,,the servant's room,直訳,最小化,「下女部屋」を「the servant's room」と直訳し、日本固有の空間ではなく、英語圏にも存在する普遍的な使用人の部屋として提示している。
798,奥さんは～～掻き馴らせた。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,水注,"She levelled the ashes in the brazier, and poured  water into the iron kettle, which stopped singing at  once.",0.5969341993,,直接的な対応語なし(poured water),調整,否認,原文の「水注」という具体的な容器の記述が訳文では省略され、その存在が完全に否定されている。
798,奥さんは～～掻き馴らせた。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,鉄瓶,"She levelled the ashes in the brazier, and poured  water into the iron kettle, which stopped singing at  once.",0.5969341993,,iron kettle,直訳,最小化,「鉄瓶」を「iron kettle」と直訳することで、日本固有性を強調せず、英語圏にも存在する「鉄製のやかん」という一般的な物理的記述に収束させている。
858,下女だけは仮寝でもしていたとみえて、ついに出て来なかった。,下女,"The maid did not appear, she must have been dozing in her room.",0.665410161,,The maid,直訳,最小化,原文「下女」を「The maid」と直訳し、日本固有の文化的背景を強調せず、英語圏でも一般的な「お手伝いさん」という上位概念に収束させ、文化的な違和感を最小化している。
871,奥さんはそういいながら、先刻出した西洋菓子の残りを、紙に包んで私の手に持たせ,西洋菓子,"So saying, she wrapped up the cakes which I had left, and handed them to me.",0.7242237329,,cakes,調整,最小化,原文「西洋菓子」を「cakes」と訳し、「西洋起源」という概念を普遍的な「菓子」に調整することで、ターゲット文化での一般化を図り固有性を最小化している。
879,私はその翌日午飯を食いに学校から帰ってきて、昨夜机の上に載せて置いた菓子の包みを見ると、すぐその中からチョコレートを塗った鳶色のカステラを出して頰張った。,鳶色,"At noon on the next day,  when I returned from school to take lunch, and  looked at the package of cakes on my desk, I at once  attacked one decorated with chocolate.",0.6535353661,,decorated with chocolate,調整,否認,「鳶色」という文化固有の色情報が、ターゲット読者に理解しやすい「チョコレート装飾」という表現に調整された結果、元の色情報が完全に削除されている。
885,それまで繻絆というものを着た事のない私が、シャツの上に黒い襟のかかったものを重ねるようになったのはこの時からであった。,繻絆,"It was after that  that I, who had never worn juban 1 before, began to  wear one with a black collar over my shirt.",0.7592012286,juban:A kind of underwear for Japanese kimono.,juban...underwear,借用,統合,「繻絆」を「juban」と借用し、注釈で「underwear」と補足を加え、文化差を提示しつつ読者の理解を促す（橋渡し）統合段階の処理である。
914,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,五徳,"There was a huge brazier in this sun-lit room, and with the help of the steam  from the basin boiling on it, the sensei was trying to  ease his breathing.",0.6076392531,,(削除),調整,否認,原文「五徳」を訳さず「on it」と火鉢の上に置かれた状況を表現。具体的な道具の存在を消し、より一般的な状況へ視点を調整した結果、文化的要素が完全に削除されている。
914,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,金盥,"There was a huge brazier in this sun-lit room, and with the help of the steam  from the basin boiling on it, the sensei was trying to  ease his breathing.",0.6076392531,,basin,調整,最小化,原文「金盥」の「金」という材質を省略し「basin」と訳すことで、具体的な文化語を一般的な道具に調整・抽象化し、文化差を消失させている。
926,それを奥の茶簞笥か何かの抽出から出して来た奥さんは、白い半紙の上へ鄭寧に重ねて、「そりゃご心配ですね」といった。,茶箪笥,"When she took the bank-notes out of a some cabinet in the back-room, ”O I am very sorry. You must be anxious about your father.”",0.609552443,,cabinet,調整,最小化,「茶箪笥」を「cabinet」と訳すことで、日本固有の家具の具体性や文化背景を抽象化し、一般的な収納家具という上位概念に収束させている。
936,それでも着いた時は、床の上に胡坐をかいて,胡座,"When I reached home, however, he sat cross-legged on his bed,",0.7242524028,,cross-legged,等価,最小化,原文の「胡座」を英語圏で一般的な「cross-legged」に等価置換し、日本固有の座り方という文化差を最小化して普遍的な身体の姿勢として提示している。
940,母は不承無性に太織りの蒲団を畳みながら「お父さんはお前が帰って来たので、急に気が強くおなりなんだよ」といった。,不承無性,"As she reludrantly folded the heavy quilts,  my mother said, “ Your father has become much  brighter since you came back.”",0.7325561047,,reludrantly,等価,最小化,「不承無性」の複合的なニュアンスを、英語圏で一般的な「reludrantly」で表現することで、その日本語固有性が薄まり、普遍的な心理状態へと収斂させている。
943,私の兄はある職を帯びて遠い九州にいた。,九州,"My elder brother’s profession took him to faraway Kyushu,",0.7749542594,,Kyushu,借用,受容,原文「九州」を「Kyushu」と借用し、地理的な固有名詞として日本固有の異質感をそのまま読者に提示している。
957,私は先生に手紙を書いて恩借の礼を述べた。正月上京する時に持参するからそれまで待ってくれるようにと断わった。,正月,"I wrote to the sensei, and thanked him for his kindness in lending me the money, and told him that would bring it back when I returned to Tokyo in January.",0.730776906,,January,調整,最小化,「正月」を「January」に調整し、日本固有の文化性を捨象して普遍的な時間情報に収束させることで文化差を最小化している。
957,私は先生に手紙を書いて恩借の礼を述べた。正月上京する時に持参するからそれまで待ってくれるようにと断わった。,上京,"I wrote to the sensei, and thanked him for his kindness in lending me the money, and told him that would bring it back when I returned to Tokyo in January.",0.730776906,,returned to Tokyo,直訳,最小化,「上京」を「returned to Tokyo」と直訳し、日本固有の文化的含意を排して「東京へ戻る」という物理的記述に収束させている。
963,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,東京,”You had better take some dried mushrooms as a present to him when you go to Tokyo next time.”,0.6934876442,,Tokyo,借用,受容,原文の固有名詞「東京」を「Tokyo」と借用し、その音と意味をそのまま読者に提示することで、日本固有の地名を異質性を保ったまま受容させている。
963,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,椎茸,”You had better take some dried mushrooms as a present to him when you go to Tokyo next time.”,0.6934876442,,dried mushrooms,直訳,最小化,原文「椎茸」を「dried mushrooms」と直訳し、日本固有の名称を一般的な「乾燥キノコ」に置き換えることで、文化的な異質感を最小化している。
978,私は退屈な父の相手としてよく将碁盤に向かった。,将棋盤,"In order to amuse my father, I often sat with him at Japanese chess.",0.6620810628,,Japanese chess,調整,受容,「将棋盤」を「Japanese chess」と訳し、具体的な道具からゲーム全体に視点を調整しつつ、日本の固有性（異質性）を明確に読者に提示している。
979,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,炬燵,"It was so cold that we had no courage to drag ourselves away from the warm sunken fireplace with its wadded covering, so we placed the chess-board on the quilt and played comfortably.",0.4856975675,,the warm sunken fireplace with its wadded covering,調整,最小化,「炬燵」を「the warm sunken fireplace with its wadded covering」と調整し、固有性を物理的記述に収束させ、一般的な概念として提示。
979,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,盤,"It was so cold that we had no courage to drag ourselves away from the warm sunken fireplace with its wadded covering, so we placed the chess-board on the quilt and played comfortably.",0.4856975675,,chess-board,翻案,適応,原文「盤」を「chess-board」と訳し、炬燵で遊ぶ日本的なボードゲームの文化状況を、読者になじみやすい西洋のチェス盤に置き換え適応させている。
979,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,櫓,"It was so cold that we had no courage to drag ourselves away from the warm sunken fireplace with its wadded covering, so we placed the chess-board on the quilt and played comfortably.",0.4856975675,,quilt,翻案,適応,原文の「櫓」を「quilt」に置き換え、盤を置く場所という機能を保ちつつ、無精な状況を読者が想像しやすい具体的な描写へと翻案（適応）している。
983,それを母が灰の中から見付け出して、火箸で挟み上げるという滑稽もあった。,火箸,"It was  my mother who usually found them in the ashes, and picked them out with the tongs, which was quite  a ridiculous sight.",0.6908781528,,tongs,直訳,最小化,「火箸」を「tongs」と直訳することで、日本固有の道具が英語圏にも存在する一般的な「挟む道具」として普遍化され、文化的な異質感が最小化されている。
991,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,金,I often stretched my arms and even yawned.,0.6894717813,,なし,翻案,否認,原文の「金」が英訳から完全に省略され、将棋を指す状況描写が一般的な「stretched my arms」に翻案されているため、文化的要素が読者に提示されず、文化差を否認している。
991,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,香車,I often stretched my arms and even yawned.,0.6894717813,,「香車」の削除,翻案,否認,原文「金や香車を握った拳」が「stretched my arms」と翻案され、「香車」が訳文から完全に削除されたことで、文化差を提示しない「否認」のモードを選択している。
998,それでいて、この将碁を差したがる父は、単なる娯楽の相手としても私には物足りなかった。,将棋,"Yet my father, who loved to  play chess, was unsatisfactory to me even as a companion for games.",0.6482940316,,chess,翻案,適応,「将棋」を英語圏の「chess」に翻案し、日本固有の盤上遊戯をターゲット文化に馴染む具体的な事物へ適応させている。
1009,私も滞在中にその峠を通り越した。,峠,"My parents' regard, too, passed its height during my stay.",0.6704736352,,height,翻案,統合,原文「峠」が持つ「ピークを越える」という象徴的意味を抽出し、ターゲット文化に馴染むよう「親の愛情の頂点（height）を過ぎた」と大胆に再構築（Transcreation）している。
1010,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。,儒者,"Like a Christian bringing the influence of his strange doctrine to a Confucian's home in old days, what I brought from Tokyo did not harmonize with my parents' way of life.",0.6841402054,,a Confucian's,直訳,最小化,原文「儒者」を英語圏でも一般的な学術用語である「Confucian」と直訳し、文化的な異質感を最小化している。
1010,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。,切支丹,"Like a Christian bringing the influence of his strange doctrine to a Confucian's home in old days, what I brought from Tokyo did not harmonize with my parents' way of life.",0.6841400862,,Christian,等価,最小化,原文「切支丹」を英語圏で一般的な「Christian」と等価の表現にすることで、日本固有の歴史的文脈を薄め、文化差を最小化している。
1021,東京へ帰ってみると、松飾はいつか取り払われていた。,松飾,"I returned to Tokyo, the gay New Year's decorations had been already removed.",0.7228272557,,the gay New Year's decorations,調整,最小化,原文「松飾」を「新年の飾り」という上位概念に調整し、日本固有性を強調せず一般的な表現に収束させ、さらに「gay」で雰囲気を補足している。
1021,町は寒い風の吹くに任せて、どこを見てもこれというほどの正月めいた景気はなかった。,正月,"The street was exposed to the chilly wind, and not a vestige of  the New Year gaiety was anywhere to be seen.",0.6703383923,,the New Year gaiety,等価,適応,「正月めいた景気」を「the New Year gaiety」と訳し、日本固有の「正月」の機能を英語圏の「新年」の「陽気さ」に置き換え、ターゲット文化の具体的な概念に即している。
1071,狼狽した気味の私は、早速先生の所へ出掛けて、私の読まなければならない参考書を聞いた。,狼狽,"In somewhat of a panic, ”I went to see him at onece,and asked him the titles of the books I had to read.”",0.8544415832,,In somewhat of a panic,等価,最小化,「狼狽した気味」を英語の自然な「In somewhat of a panic」と等価翻訳し、感情の日本固有性を強調せず普遍的な状態として提示（最小化）している。
1094,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,好事家,"Like a collector trying to find some curios,I scanned the titles of the books written in gold.",0.5450437069,,collector,直訳,最小化,「好事家」を「collector」と直訳することで、日本固有の「好事」のニュアンスが薄まり、普遍的な収集家という上位概念に収束させ、文化的な違和感を消失させている。
1094,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,骨董,"Like a collector trying to find some curios,I scanned the titles of the books written in gold.",0.5450437069,,curios,直訳,最小化,「骨董」を英語圏でも一般的な「curios」に直訳することで、日本固有性を強調せず、普遍的な「珍品」として読者に提示し、文化差を最小化している。
1098,私はついに四月の下旬が来て、やっと予定通りのものを書き上げるまで、先生の敷居を跨がなかった。,敷居,I did not call on the sensei until the end of April when the work was finished.,0.6442409158,,call on,等価,最小化,原文「敷居」が持つ文化的・物理的固有性が失われ、一般的な「訪問」という行為（call on）に置き換えられたことで、文化的異質感が最小化されている。
1101,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,八重桜,"It was at the beginning of summer that I was emancipated from study, when in place of the double cherry-blossoms, a mist of delicate green leaves began to cover the branches.",0.7065207958,,the double cherry-blossoms,直訳,最小化,「八重桜」を「double cherry-blossoms」と直訳し、日本固有の文化性を強調せず、物理的特徴で表現された一般的な植物として読者に提示している。
1101,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,初夏,"It was at the beginning of summer that I was emancipated from study, when in place of the double cherry-blossoms, a mist of delicate green leaves began to cover the branches.",0.7065207958,,at the beginning of summer,直訳,最小化,「初夏」を「夏の始まり」と直訳することで、日本固有の季節感を普遍的な時期として提示し、文化差を最小化している。
1104,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,枳殻,"As I walked along, I was  attracted by the fresh buds on the blackish branches  of the hedge of aegle sepiaria, and by the bright  reddish-brown leaves softly reflecting the sunshine  on the bare pomegranate-tree.",0.83161062,,aegle sepiaria,直訳,受容,原文の「枳殻」を学名「aegle sepiaria」に直訳した結果、英語圏の読者にとって馴染みが薄く、異質感（Foreignness）が残る形で提示されている。
1104,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,柘榴,"As I walked along, I was  attracted by the fresh buds on the blackish branches  of the hedge of aegle sepiaria, and by the bright  reddish-brown leaves softly reflecting the sunshine  on the bare pomegranate-tree.",0.83161062,,pomegranate-tree,直訳,最小化,原文の「柘榴」を「pomegranate-tree」と直訳し、英語圏にも普遍的な植物として扱っているため、日本固有の文化的な違和感を最小化している。
1134,躑躅が燃えるように咲き乱れていた。,躑躅,The flaming azaleas were in full bloom.,0.6193765402,,azaleas,直訳,最小化,原文「躑躅」を「azaleas」と直訳し、英語圏でも一般的な植物として、日本固有性を強調せず普遍的な存在として提示している。
1135,先生はそのうちで樺色の丈の高いのを指して、「これは霧島でしょう」といった。,霧島,"The sensei pointed to a tall one of orange hue, and said:”I suppose this is kirishima.”.",0.4946670234,,kirishima,借用,受容,原文の「霧島」を「kirishima」と借用し、その日本固有の固有名詞としての異質性をそのまま読者に提示している。
1137,芍薬も十坪あまり一面に植え付けられていたが、まだ季節が来ないので花を着けているのは一本もなかった。,芍薬,"A garden of peonies covered a plot about twenty feet square, but it was too early for the flowers.",0.5230855942,,peonies,直訳,最小化,原文「芍薬」を「peonies」と直訳することで、英語圏でも一般的な植物名として受け入れられ、文化的な異質感を消失させている。
1143,同じ楓の樹でも同じ色を枝に着けているものは一つもなかった。,楓,Not a single leaf had the same colour as another even on one maple-tree.,0.8204889894,,maple-tree,直訳,最小化,「楓」を「maple-tree」と直訳することで、英語圏にも存在する一般的な植物として提示し、日本固有性を強調せず普遍化している。
1144,細い杉苗の頂に投げ被せてあった先生の帽子が風に吹かれて落ちた。,杉苗,"There was a breeze, and the sensei’s hat, perched on the top of a young cedar, fell to the ground.",0.6540266871,,young cedar,直訳,最小化,原文「杉苗」を「young cedar」と直訳し、日本固有の植物名を一般的な「cedar」として扱い、文化的な固有性を最小化している。
1192,今から予想してかかるような言葉遣いをするのが気に触ったら許してくれたまえ。,言葉遣い,”Forgive me for speaking as if I expected your father to die.,0.6829875708,,speaking as if I expected your father to die,翻案,適応,原文「言葉遣い」の背後にある不吉なことへの忌避感を、「father to die」という英語圏でも共通理解できる具体的な状況に翻案し、ターゲット文化に適応させている。
1210,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,杉苗,"Near the plantation of young cedars beside and behind the bench, bamboo clumps grew about eleven feet square, so think that they seemed to hide the ground.",0.6347866654,,young cedars,直訳,最小化,「杉苗」を「young cedars」と直訳し、日本固有の杉を英語圏で一般的な針葉樹の苗木という上位概念に収束させ、文化差を最小化している。
1210,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,熊笹,"Near the plantation of young cedars beside and behind the bench, bamboo clumps grew about eleven feet square, so think that they seemed to hide the ground.",0.6347866654,,bamboo clumps,直訳,最小化,原文「熊笹」を「bamboo clumps」と直訳することで、特定の笹の種類ではなく一般的な笹の茂みとして提示し、日本固有の異質感を最小化している。
1210,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,三坪,"Near the plantation of young cedars beside and behind the bench, bamboo clumps grew about eleven feet square, so think that they seemed to hide the ground.",0.6347866654,,eleven feet square,調整,最小化,原文「三坪」を「eleven feet square」と、日本の単位をターゲット文化圏で理解可能な物理量に調整することで、文化的な違和感を最小化している。
1219,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,蟇口,"He took his purse from his bosom, and put a five sen coin in the boy’s hand.",0.6818122864,,purse,調整,最小化,「蟇口」を「purse」と訳すことで、その特定の形状や日本固有性を「お金を入れる袋」という一般的な上位概念に調整し、文化差を最小化している。
1219,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,五銭,"He took his purse from his bosom, and put a five sen coin in the boy’s hand.",0.6818122864,,a five sen coin,直訳,最小化,「五銭の白銅」を「a five sen coin」と直訳し、「白銅」を「coin」と一般化することで、文化固有性を最小限に留め、読者が物理的記述として理解できるようにしている。
1223,「今斥候長になってるところなんだよ」,斥候長,"”I am playing soldiers, I am a scount-master.”   ",0.6738144755,,scout-master,直訳,最小化,「斥候長」を「scout-master」と直訳することで、日本固有の文化的な違和感は消失し、両文化に共通する普遍的な役割として提示されている。
1238,眼の前にある樹は大概楓であったが、その枝に滴るように吹いた軽い緑の若葉が、段々暗くなって行くように思われた。,楓,"Almost all the trees in front of us were maples, and the delicate green leaves opened on their branches, bright and watery.But those leaves seemed to begin to look darker.",0.7830255032,,maples,直訳,最小化,「楓」を英語圏でも一般的な「maples」に直訳し、日本固有性を強調せず普遍的な植物として扱っている。
1240,遠い往来～～聞こえた。私はそれを村の男が植木か何かを載せて縁日へでも出掛けるものと想像した。,縁日,"I heard a waggon rumbling along the far-away road, and imagined a villager carrying plants and vegetables to a local fete.",0.6087418795,,a local fete,翻案,適応,原文「縁日」を英語圏の文脈に馴染む「a local fete」に翻案することで、日本の文化状況をターゲット文化に置換している。
1286,それでも所々宅地の隅などに、豌豆の蔓を竹にからませたり、金網で鶏を囲い飼いにしたりするのが閑静に眺められた。,豌豆,"Yet at the corners  of these houses were tendrils of peas clinging to bamboo-sticks, or plots for hens covered with wirenetting, looking quiet and restful.",0.8403564095,,peas,直訳,最小化,「豌豆」を英語圏でも一般的な「peas」と直訳することで、日本固有性を強調せず普遍的な植物として提示し、文化差の違和感を最小化している。
1286,それでも所々宅地の隅などに、豌豆の蔓を竹にからませたり、金網で鶏を囲い飼いにしたりするのが閑静に眺められた。,金網,"Yet at the corners  of these houses were tendrils of peas clinging to bamboo-sticks, or plots for hens covered with wirenetting, looking quiet and restful.",0.8403564095,,wirenetting,直訳,最小化,原文「金網」を「wirenetting」と直訳することで、英語圏でも一般的な物理的記述として扱われ、日本固有の文化差が最小化されている。
1304,私の父の前には善人であったらしい彼らは、父の死ぬや否や許しがたい不徳義漢に変ったのです。,不徳義漢,"They, who seemed to be honest before my father, soon after his  death, became wicked, unforgivably wicked.",0.8094999194,,"wicked, unforgivably wicked.",等価,最小化,原文「不徳義漢」を、一般的な「wicked」に等価で訳し、日本固有の道徳観を強調せず普遍的な悪人として提示（最小化）。
1352,卒業式の日、私は黴臭くなった古い冬服を行李の中から出して着た。,行李,"On the graduation day, I put on an old winter suit,  which smelt of mould from its long residence in a baskettrunk.",0.7973490953,,baskettrunk,直訳,最小化,「行李」を「baskettrunk」と、物理的特徴（籠と箱）で構成する一般的な単語の組み合わせに直訳し、日本固有の文化性を抽象化・最小化している。
1354,私は風の通らない厚羅紗の下に密封された自分の身体を持て余した。,厚羅紗,"I did not know what to do with my poor body, swathed in wool which did not allow the slightest ventilation.",0.6423524022,,wool which did not allow the slightest ventilation,調整,最小化,「厚羅紗」を「wool」という一般語と「風を通さない」という物理的記述で表現し、素材の機能的特性に焦点を調整（一般化・抽象化）することで文化差を最小化している。
1366,先生のうちで飯を食うと、きっとこの西洋料理店に見るような白いリンネルの上に、箸や茶碗が置かれた。,箸,"Whenever I took dinner at his house, they always placed  the bowls and hashi on the white linen cloth as  was the custom in foreign restaurants.",0.5545615554,,hashi,借用,受容,原文の「箸」を「hashi」と借用し、一般的な「chopsticks」を避け読者に異質な固有名詞として提示することで、文化差の異質性を保持している。
1366,先生のうちで飯を食うと、きっとこの西洋料理店に見るような白いリンネルの上に、箸や茶碗が置かれた。,茶碗,"Whenever I took dinner at his house, they always placed  the bowls and hashi on the white linen cloth as  was the custom in foreign restaurants.",0.5545615554,,bowls,直訳,最小化,原文の「茶碗」を「bowls」と直訳し、日本固有の食器を英語圏でも一般的な「ボウル」という上位概念に収束させ、文化差を最小化している。
1374,「先生は癇性ですね」とかつて奥さんに告げた時、奥さんは「でも着物などは、それほど気にしないようですよ」と答えた事があった。,着物,"When I once remarked to his wife that he was sensitive, she replied,”But he does not trouble himself about his dress.”",0.6674745679,,his dress,調整,最小化,「着物」を一般的な「his dress」（彼の服装）に調整し、日本固有の文化性を意識させず、読者にとって普遍的な概念に収束させている。
1381,「お目出とう」といって、先生が私のために杯を上げてくれた。私はこの盃に対してそれほど嬉しい気を起さなかった。,盃,"“ Congratulations,” the sensei said, and raised  his cup to me.These words did not produce the desired effect.",0.6833930016,,his cup,直訳,最小化,「盃」を一般的な「cup」に直訳し、日本固有の酒器のニュアンスを排して普遍的な容器として提示することで、文化差を最小化している。
1405,奥さんは下女を呼んで食卓を片付けさせた後へ、改めてアイスクリームと水菓子を運ばせた。,アイスクリーム,"She called the maid, who cleared away the table,  and brought ice-cream and fruit instead.",0.7560925484,,ice-cream,直訳,最小化,原文の「アイスクリーム」を「ice-cream」と直訳することで、英語圏でも普遍的な食べ物として提示し、文化的な固有性を強調せず違和感を消失させている。
1405,奥さんは下女を呼んで食卓を片付けさせた後へ、改めてアイスクリームと水菓子を運ばせた。,水菓子,"She called the maid, who cleared away the table,  and brought ice-cream and fruit instead.",0.7560925484,,fruit,調整,最小化,原文「水菓子」を「fruit」と訳し、日本固有のデザート概念を英語圏でも通用する一般的な「果物」に調整することで、文化的な固有性を最小化している。
1488,先生は手に持った団扇をわざとばたばたいわせた。そうしてまた奥さんを顧みた。,団扇,"He purposely flapped the fan in his hand, and turned to his wife again.",0.5805693865,,the fan,直訳,最小化,「団扇」を「the fan」と直訳し、日本固有性を一般化して英語圏にもある「扇」として提示、文化差を最小化している。
1493,「古本屋に売るさ」,古本屋,You can sell them to a second-hand book seller.,0.5679597259,,a second-hand book seller,直訳,最小化,「古本屋」を「a second-hand book seller」と直訳することで、英語圏にも存在する一般的な概念として提示し、日本固有の文化差を最小化している。
1500,縁喜でもない。,縁起,Please don't do it any more.,0.6846907139,,Please don't do it any more.,等価,否認,「縁起」の機能的意味合いを英語の等価表現に置換。文化要素「縁起」は訳文から完全に削除・省略された。
