Location,Note,Highlight_JP,Highlight_EN,注釈,文化的要素の対応訳,翻訳技法,翻訳技法の選出理由,技法検閲有無
700,鹿爪らしく,「おや」といって、軽く驚いた時の眼を私に向けた。そうして客に来た人のように鹿爪らしく控えている私をおかしそうに見た。,"”Why,” she said, looking in, half surprised at me sitting formally like a guest. It seemed to appear ridiculous to her.",,sitting formally,Generalization,原文「鹿爪らしく」が持つ「堅苦しく真面目ぶっている」という特定の含意を、英訳「sitting formally」はより中立的・一般的な「形式ばって座っている」という表現に一般化しているため。,TRUE
709,長火鉢,私は奥さんの 後 に 尾 いて書斎を出た。茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,"I followed her to the sitting-room, where an iron tea-kettle was singing pleasantly on a beautifully polished oblong brazier.",,oblong brazier,Literal translation,原文「長火鉢」を、その形態「oblong」と種類「brazier」で説明しているため。,TRUE
709,鉄瓶,私は奥さんの 後 に 尾 いて書斎を出た。茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,"I followed her to the sitting-room, where an iron tea-kettle was singing pleasantly on a beautifully polished oblong brazier.",,iron tea-kettle,Literal translation,原文「鉄瓶」を「iron tea-kettle」と訳しており、その言葉の辞書的な意味を直訳し、形式・機能・意味が一致しているため。,TRUE
724,空の盃,空の盃でよくああ飽きずに献酬ができると思いますわ,I wonder why they don’t get tired offering and taking quite empty cups.,,empty cups,Literal translation,原文「空の盃」を「empty cups」と、各語が辞書的な意味通りに直訳され、形式・機能・意味が一致しているため。,TRUE
724,献酬,空の盃でよくああ飽きずに献酬ができると思いますわ,I wonder why they don’t get tired offering and taking quite empty cups.,,offering and taking,Description,「献酬」という用語を、その行為の機能である「offering and taking」という動作の組み合わせで説明しているため。,TRUE
773,春の雲,けれどもそれは懐かしい春の雲を眺めるような心持で、ただ漠然と夢みていたに過ぎなかった。,"But it was like the feeling which takes possession of us when we look upon the lovely clouds of spring, a mere indefinite longing.",,clouds of spring,Literal translation,「AのB」を「B of A」とするのは英語の標準的な文法規則であり、特別な構造の借用ではありません。「Clouds of spring」は詩的ですが一般的な英語表現の範疇であるため。,TRUE
792,下女部屋,下女部屋 にいる下女はことりとも音をさせなかった。私はまるで泥棒の事を忘れてしまった。,"No sound was heard from the maid in the servant's room, and the thought of the thief had disappeared entirely from my mind.",,servant's room,Generalization,原文の「下女（Gejo）」は「女性の家事使用人（Maid）」という性別と役割が特定された言葉。訳文の「Servant」は「使用人全般」を指す言葉であり、性別や具体的な役割（掃除、料理など）が捨象されているため。,TRUE
798,水注,奥さんは火鉢の灰を 搔 き 馴らした。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,"She levelled the ashes in the brazier, and poured water into the iron kettle, which stopped singing at once.",,なし,Reduction,原文の「水注」という水を注ぐ器の情報が、訳文では完全に省略されているため。,TRUE
798,鉄瓶,奥さんは火鉢の灰を 搔 き 馴らした。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,"She levelled the ashes in the brazier, and poured water into the iron kettle, which stopped singing at once.",,iron kettle,Literal translation,原文「鉄瓶」を「iron kettle」と、各構成要素が辞書的な意味通りに直訳され、形式・機能・意味が一致しているため。,TRUE
858,下女,下女だけは仮寝でもしていたとみえて、ついに出て来なかった。,"The maid did not appear, she must have been dozing in her room.",,maid,Literal translation,「下女」＝「Maid」は、辞書的にも機能的にも範囲がほぼ完全に一致しているため。,TRUE
871,西洋菓子,奥さんはそういいながら、先刻出した西洋菓子の残りを、紙に包んで私の手に持たせ,"So saying, she wrapped up the cakes which I had left, and handed them to me.",,cakes,Particularization,原文の「西洋菓子」という比較的に広い概念を、より具体的な種類の「cakes」に特定しているため。,TRUE
879,鳶色,私はその翌日午飯を食いに学校から帰ってきて、昨夜机の上に載せて置いた菓子の包みを見ると、すぐその中からチョコレートを塗った鳶色のカステラを出して頰張った。,"At noon on the next day, when I returned from school to take lunch, and looked at the package of cakes on my desk, I at once attacked one decorated with chocolate.",,なし,Reduction,原文の「鳶色」という色情報が、訳文の「one decorated with chocolate」では完全に省略されているため。,TRUE
885,繻絆,それまで繻絆というものを着た事のない私が、シャツの上に黒い襟のかかったものを重ねるようになったのはこの時からであった。,"It was after that that I, who had never worn juban 1 before, began to wear one with a black collar over my shirt.",juban: A kind of underwear for Japanese kimono.,juban,Amplification,原文「繻絆」を「juban」と借用しつつ、注釈で「A kind of underwear for Japanese kimono.」と説明（増幅）を加えているため。,TRUE
914,五徳,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,"There was a huge brazier in this sun-lit room, and with the help of the steam from the basin boiling on it, the sensei was trying to ease his breathing.",,on it,Reduction,原文の「五徳」という要素が訳文では省略され、金盥が「火鉢の上に（on it）」置かれるという表現に情報が還元されたため。,TRUE
914,金盥,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,"There was a huge brazier in this sun-lit room, and with the help of the steam from the basin boiling on it, the sensei was trying to ease his breathing.",,basin,Generalization,原文の「金盥」は金属製という具体的な素材を含むが、訳文の「basin」は素材を特定しない一般的な用語に一般化されているため。,TRUE
926,茶箪笥,それを奥の茶簞笥か何かの抽出から出して来た奥さんは、白い半紙の上へ鄭寧に重ねて、「そりゃご心配ですね」といった。,"When she took the bank-notes out of a drawer of some cabinet in the back-room, she put them in a while paper in a neat pile and said, ”O I am very sorry. You must be anxious about your father.”",,cabinet,Generalization,原文の「茶箪笥」が、特定の用途を示す「茶」の情報が失われ、より一般的で中立的な「cabinet」という収納家具に一般化されているため。,TRUE
936,胡座,それでも着いた時は、床の上に胡坐をかいて,"When I reached home, however, he sat cross-legged on his bed,",,cross-legged,Description,原文の「胡座」という座り方の用語を使わず、その形態（脚を交差させる）を説明する「cross-legged」という表現に置き換えているため。,TRUE
940,不承無性,母は不承無性に太織りの蒲団を畳みながら「お父さんはお前が帰って来たので、急に気が強くおなりなんだよ」といった。,"As she reludrantly folded the heavy quilts, my mother said, “ Your father has become much brighter since you came back.”",,reluctantly,Literal translation,辞書にある副詞の直接的な対応語,TRUE
943,九州,私の兄はある職を帯びて遠い九州にいた。,"My elder brother’s profession took him to faraway Kyushu,",,Kyushu,Borrowing,原文「九州」を「Kyushu」と音写し、英訳にも注釈にも補足説明を加えていないため。,TRUE
957,正月,私は先生に手紙を書いて恩借の礼を述べた。正月上京する時に持参するからそれまで待ってくれるようにと断わった。,"I wrote to the sensei, and thanked him for his kindness in lending me the money, and told him that would bring it back when I returned to Tokyo in January.",,January,Generalization,「正月（文化的行事・期間）」を「1月（暦上の月）」に置き換えている。行事名から、それを含む期間へのGeneralization（一般化）と捉えるのが妥当,TRUE
957,上京,私は先生に手紙を書いて恩借の礼を述べた。正月上京する時に持参するからそれまで待ってくれるようにと断わった。,"I wrote to the sensei, and thanked him for his kindness in lending me the money, and told him that would bring it back when I returned to Tokyo in January.",,returned to Tokyo,Modulation,[視点の反転]「上京（都へ行く）」に対し、「Returned（戻る）」という視点変更を含んでいるため。,TRUE
963,東京,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,”You had better take some dried mushrooms as a present to him when you go to Tokyo next time.”,,Tokyo,Borrowing,原文「東京」を「Tokyo」と音写し、補足説明を加えていないため。,TRUE
963,椎茸,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,”You had better take some dried mushrooms as a present to him when you go to Tokyo next time.”,,dried mushrooms,Generalization,原文「椎茸」という特定のキノコを、英訳「mushrooms」というより一般的なキノコの総称に一般化しているため。,TRUE
978,将棋盤,私は退屈な父の相手としてよく将碁盤に向かった。,"In order to amuse my father, I often sat with him at Japanese chess.",,Japanese chess,Established equivalent,将棋はJapaneseEquivalentで浸透しているため。,TRUE
979,炬燵,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,"It was so cold that we had no courage to drag ourselves away from the warm sunken fireplace with its wadded covering, so we placed the chess-board on the quilt and played comfortably.We did not even take our hands out, and as it came to our turn to play, we would take one hand from under the cover, make a move and put it back.",,the warm sunken fireplace with its wadded covering,Description,原文「炬燵」を、その名称を使わず「the warm sunken fireplace with its wadded covering」と形態や機能で説明しているため。,TRUE
979,櫓,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,"It was so cold that we had no courage to drag ourselves away from the warm sunken fireplace with its wadded covering, so we placed the chess-board on the quilt and played comfortably.We did not even take our hands out, and as it came to our turn to play, we would take one hand from under the cover, make a move and put it back.",,quilt,Modulation,[部分 → 別の部分]原文「櫓」という炬燵の台を、炬燵の要素（物理的には「櫓の上に掛布団があり、その上に盤がある状態」）である「quilt」（掛け布団）に置き換えているため。翻訳者は「支えている構造物（櫓）」ではなく「実際に触れている表面（蒲団）」に焦点を移しているため（視点・認知カテゴリーの変更）。,TRUE
983,火箸,それを母が灰の中から見付け出して、火箸で挟み上げるという滑稽もあった。,"It was my mother who usually found them in the ashes, and picked them out with the tongs, which was quite a ridiculous sight.",,the tongs,Generalization,原文「火箸」が持つ特定の用途（火を扱う）の情報を省き、より一般的な挟む道具を指す「tongs」に抽象化しているため。,TRUE
984,碁,「碁 だと盤が高過ぎる上に、足が着いているから、炬燵の上では打てないが、そこへ来ると将碁盤は 好いね、こうして楽に差せるから。無精者には持って来いだ。もう一番やろう」,"""We cannot play go on the sunken fireplace, because the board is raised too high on its legs. But we can play chess comfortably here. It is very convenient for us lazy men. Let us play once more.""",go: A kind of indoor game which is a little different from Japanese chess.,go,Amplification,原文「碁」を「go」と音写（借用）し、注釈で「A kind of indoor game which is a little different from Japanese chess.」と補足説明を加えているため。,TRUE
991,金,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,I often stretched my arms and even yawned.,,なし,Reduction,原文の「金」を含む「金や香車を握った拳」が英訳で「my arms」と翻訳され、その結果「金」という文化的要素が完全に省略されたため。,TRUE
991,香車,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,I often stretched my arms and even yawned.,,my arms,Reduction,原文の「香車」という具体的な文化的要素が、英訳において完全に省略されているため。「将棋の駒（具体的名称）」が消え、身体部位（腕）の動作のみになっている。,TRUE
998,将棋,それでいて、この将碁を差したがる父は、単なる娯楽の相手としても私には物足りなかった。,"Yet my father, who loved to play chess, was unsatisfactory to me even as a companion for games.",,chess,Adaptation,原文の「将碁（将棋）」という日本の文化的ボードゲームが、ターゲット文化圏で機能的に近い「chess」に置き換えられているため。,TRUE
1010,儒者,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。,"Like a Christian bringing the influence of his strange doctrine to a Confucian's home in old days, what I brought from Tokyo did not harmonize with my parents' way of life.",,Confucian's,Established equivalent,「Confucian」は「儒教の、儒家の」を指す、辞書に載っている確立された英単語でであるため。直訳だとしたら、「儒（Scholar/Weak）」,TRUE
1010,切支丹,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。,"Like a Christian bringing the influence of his strange doctrine to a Confucian's home in old days, what I brought from Tokyo did not harmonize with my parents' way of life.",,Christian,Generalization,原文「切支丹」を、より一般的・中立的な「Christian」という用語に置き換え、特定の歴史的・文化的な含意を一般化しているため。,TRUE
1021,松飾,東京へ帰ってみると、松飾はいつか取り払われていた。,"I returned to Tokyo, the gay New Year's decorations had been already removed.",,New Year's decorations,Generalization,原文「松飾」という特定の正月飾りを、訳文で「New Year's decorations」というより一般的・中立的な正月飾り全般を指す用語に抽象化しているため。,TRUE
1021,正月,町は寒い風の吹くに任せて、どこを見てもこれというほどの正月めいた景気はなかった。,"The street was exposed to the chilly wind, and not a vestige of the New Year gaiety was anywhere to be seen.",,New Year,Established equivalent,「正月」を、英語圏で広く認められている等価語「New Year」で対応させているため。,TRUE
1094,好事家,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,"Like a collector trying to find some curios,I scanned the titles of the books written in gold.",,collector,Particularization,原文「好事家」は「モノ好きな人」以外の意味も含むが、文脈「骨董でも掘り出す」により意味が「収集家」に特定され、より具体的な訳語「collector」を使用しているため。,TRUE
1094,骨董,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,"Like a collector trying to find some curios,I scanned the titles of the books written in gold.",,curios,Established equivalent,原文「骨董」を、英語圏で一般的に認知されている等価語「curios」で対応させているため。,TRUE
1098,敷居を跨がなかった,私はついに四月の下旬が来て、やっと予定通りのものを書き上げるまで、先生の敷居を跨がなかった。,I did not call on the sensei until the end of April when the work was finished.,,call on,Reduction,原文「敷居を跨がなかった」の「敷居」という文化的要素が、訳文「call on the sensei」では完全に省略されているため。「敷居（境界線）」というメタファー/実体が消え、「訪問する」という動詞になっている。,TRUE
1101,八重桜,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,"It was at the beginning of summer that I was emancipated from study, when in place of the double cherry-blossoms, a mist of delicate green leaves began to cover the branches.",,double cherry-blossoms,Literal translation,植物学的な名称として定着しています（Est Eq）。語の構成を見ても「Double（八重）」＋「Cherry blossom（桜）」でLiteralです。Calqueのような不自然さはない。,TRUE
1101,初夏,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,"It was at the beginning of summer that I was emancipated from study, when in place of the double cherry-blossoms, a mist of delicate green leaves began to cover the branches.",,at the beginning of summer,Literal translation,「初（Beginning）」＋「夏（Summer）」という構成要素ごとの直訳。,TRUE
1104,枳殻,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,"As I walked along, I was attracted by the fresh buds on the blackish branches of the hedge of aegle sepiaria, and by the bright reddish-brown leaves softly reflecting the sunshine on the bare pomegranate-tree.",,aegle sepiaria,Literal translation,原文「枳殻」を、その学名であり、専門分野で確立された等価語である「aegle sepiaria」で対応させているため。,TRUE
1104,柘榴,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,"As I walked along, I was attracted by the fresh buds on the blackish branches of the hedge of aegle sepiaria, and by the bright reddish-brown leaves softly reflecting the sunshine on the bare pomegranate-tree.",,pomegranate-tree,Literal translation,原文「柘榴」を英語圏で定着している等価語「pomegranate-tree」で対応させているため。,TRUE
1134,躑躅,躑躅が燃えるように咲き乱れていた。,The flaming azaleas were in full bloom.,,azaleas,Literal translation,原文「躑躅」を、英語圏で定着している訳語「azaleas」で対応させているため。,TRUE
1135,霧島,先生はそのうちで樺色の丈の高いのを指して、「これは霧島でしょう」といった。,"The sensei pointed to a tall one of orange hue, and said:”I suppose this is kirishima.”.",kirishima: A kind of azalea.,kirishima,Amplification,原文「霧島」を「kirishima」と借用し、さらに注釈で「A kind of azalea.」と補足説明（増幅）を加えているため。,TRUE
1137,芍薬,芍薬も十坪あまり一面に植え付けられていたが、まだ季節が来ないので花を着けているのは一本もなかった。,"A garden of peonies covered a plot about twenty feet square, but it was too early for the flowers.",,peonies,Literal translation,原文「芍薬」を、英語圏で植物の名称として確立されている等価語「peonies」で対応させているため。,TRUE
1137,十坪,芍薬も十坪あまり一面に植え付けられていたが、まだ季節が来ないので花を着けているのは一本もなかった。,"A garden of peonies covered a plot about twenty feet square, but it was too early for the flowers.",,about twenty feet square,Adaptation,原文「十坪」を、日本の面積単位の言葉を使わず「eleven feet square」と英語圏の単位に換算して具体的な面積として説明しているため。M＆Aの分類ではターゲット文化への計量法への適応はAdaptationとして分類されることが多い。,TRUE
1210,杉苗,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,"Near the plantation of young cedars beside and behind the bench, bamboo clumps grew about eleven feet square, so think that they seemed to hide the ground.",,young cedars,Generalization,原文「杉苗」を「young cedars」と訳すことで、特定の樹種名「杉」をより一般的な「cedar」に、また「苗」を一般的な「young」という表現に一般化しているため。,TRUE
1210,熊笹,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,"Near the plantation of young cedars beside and behind the bench, bamboo clumps grew about eleven feet square, so think that they seemed to hide the ground.",,bamboo clumps,Generalization,原文の「熊笹」という特定の植物名を、訳文でより一般的・中立的な「bamboo clumps」（竹や笹の群生）に抽象化しているため。,TRUE
1210,三坪,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,"Near the plantation of young cedars beside and behind the bench, bamboo clumps grew about eleven feet square, so thick that they seemed to hide the ground.",,eleven feet square,Adaptation,原文「十坪」を、日本の面積単位の言葉を使わず「eleven feet square」と英語圏の単位に換算して具体的な面積として説明しているため。M＆Aの分類ではターゲット文化への計量法への適応はAdaptationとして分類されることが多い。,TRUE
1219,蟇口,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,"He took his purse from his bosom, and put a five sen coin in the boy’s hand.",,purse,Generalization,原文「蟇口」が特定の口金式小銭入れを指すのに対し、訳文「purse」がより一般的な「財布」や「小銭入れ」として抽象化されているため。,TRUE
1219,五銭,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,"He took his purse from his bosom, and put a five sen coin in the boy’s hand.",,five sen,Borrowing,原文「五銭」を「five sen」と、「五」と「銭」の構成要素をそれぞれ逐語訳（仮借）しているため。,TRUE
1223,斥候長,「今斥候長になってるところなんだよ」,"”I am playing soldiers, I am a scout-master.”",,a scout-master,Literal translation,原文の「斥候長」を「斥候(scout)」と「長(master)」に語義的に分解し、それぞれを逐語訳して組み合わせ「a scout-master」としているため。,TRUE
1238,楓,眼の前にある樹は大概楓であったが、その枝に滴るように吹いた軽い緑の若葉が、段々暗くなって行くように思われた。,"Almost all the trees in front of us were maples, and the delicate green leaves opened on their branches, bright and watery. But those leaves seemed to begin to look darker.",,maples,Literal translation,原文「楓」を「maples」と辞書的な意味通りに直訳し、形式・機能・意味が一致しているため。,TRUE
1240,縁日,遠い往来を荷車を引いて行く響きがごろごろと聞こえた。私はそれを村の男が植木か何かを載せて 縁日 へでも出掛けるものと想像した。,"I heard a waggon rumbling along the far-away road, and imagined a villager carrying plants and vegetables to a local fete.",,a local fete,Adaptation,原文の「縁日」を、英語圏の村祭りに当たる「fete（西洋的な祝祭・バザー」とすることで、ターゲット文化圏の読者にとって馴染みやすく、類似の体験に置き換えているため。,TRUE
1304,不徳義漢,私の父の前には善人であったらしい彼らは、父の死ぬや否や許しがたい不徳義漢に変ったのです。,"They, who seemed to be honest before my father, soon after his death, became wicked, unforgivably wicked.",,"wicked, unforgivably wicked",Amplification,「不徳義（Immoral）」を「Wicked」と訳すだけでなく、「Unforgivably（許しがたいほど）」という強調語（評価の度合い）を付け加えているため。,TRUE
1352,行李,卒業式の日、私は黴臭くなった古い冬服を行李の中から出して着た。,"On the graduation day, I put on an old winter suit, which smelt of mould from its long residence in a baskettrunk.",,a baskettrunk,Description,「行李（Kori）」という特定の道具を、英語の定訳（Wicker trunkなど）ではなく、「Basket（かご）」＋「Trunk（トランク）」という造語で、その材質と機能を説明しているため,TRUE
1354,厚羅紗,私は風の通らない厚羅紗の下に密封された自分の身体を持て余した。,"I did not know what to do with my poor body, swathed in wool which did not allow the slightest ventilation.",,wool which did not allow the slightest ventilation,Description,原文「厚羅紗」を、素材「wool」と「厚さ」がもたらす機能「did not allow the slightest ventilation」によって説明しているため。,TRUE
1366,箸,先生のうちで飯を食うと、きっとこの西洋料理店に見るような白いリンネルの上に、箸や茶碗が置かれた。,"Whenever I took dinner at his house, they always placed the bowls and hashi on the white linen cloth as was the custom in foreign restaurants.",hashi: Chopsticks.,hashi,Amplification,原文「箸」を「hashi」と借用し、さらに注釈で「Chopsticks.」という詳細説明（増幅）を加えているため。,TRUE
1366,茶碗,先生のうちで飯を食うと、きっとこの西洋料理店に見るような白いリンネルの上に、箸や茶碗が置かれた。,"Whenever I took dinner at his house, they always placed the bowls and hashi on the white linen cloth as was the custom in foreign restaurants.",,bowls,Generalization,原文「茶碗」を「bowls」と訳すことで、特定の用途を持つ碗からより一般的な碗へと抽象化しているため。,TRUE
1374,着物,「先生は癇性ですね」とかつて奥さんに告げた時、奥さんは「でも着物などは、それほど気にしないようですよ」と答えた事があった。,"When I once remarked to his wife that he was sensitive, she replied,”But he does not trouble himself about his dress.”",,his dress,Generalization,原文「着物」を、特定の和服を指す言葉ではなく、より一般的・中立的な用語である「his dress」に置き換えているため。,TRUE
1381,盃,「お目出とう」といって、先生が私のために杯を上げてくれた。私はこの盃に対してそれほど嬉しい気を起さなかった。,"“ Congratulations,” the sensei said, and raised his cup to me.These words did not produce the desired effect.",,These word,Modulation,[モノ → 言葉/行為]直前の文で「raised his cup（杯を上げた）」と訳出されているため、この文での「盃」は物理的な杯そのものではなく、「祝杯の挨拶」という行為を指している。これを「These words（その言葉）」と言い換えるのは、**「対象物（Cup）」から「内容（Words）」への視点変更であるため。,TRUE
1381,杯,「お目出とう」といって、先生が私のために杯を上げてくれた。私はこの盃に対してそれほど嬉しい気を起さなかった。,"“ Congratulations,” the sensei said, and raised his cup to me.These words did not produce the desired effect.",,cup,Literal translation,原文「杯」を「cup」と辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,TRUE
1405,アイスクリーム,奥さんは下女を呼んで食卓を片付けさせた後へ、改めてアイスクリームと水菓子を運ばせた。,"She called the maid, who cleared away the table, and brought ice-cream and fruit instead.",,ice-cream,Literal translation,原文「アイスクリーム」を訳文で「ice-cream」と、辞書的な意味通りに逐語的に訳しており、形式・機能・意味が一致しているため。,TRUE
1405,水菓子,奥さんは下女を呼んで食卓を片付けさせた後へ、改めてアイスクリームと水菓子を運ばせた。,"She called the maid, who cleared away the table, and brought ice-cream and fruit instead.",,fruit,Generalization,原文「水菓子」がデザートとして供される特定の果物や菓子を指すのに対し、訳文「fruit」はより一般的な果物を指すため。,TRUE
1488,団扇,先生は手に持った団扇をわざとばたばたいわせた。そうしてまた奥さんを顧みた。,"He purposely flapped the fan in his hand, and turned to his wife again.",,fan,Generalization,団扇をfanと訳し、特定の形状を持つ日本の扇を、より一般的で広範な意味を持つ「fan」（扇全般）という用語に一般化しているため。,TRUE
1493,古本屋,「古本屋に売るさ」,You can sell them to a second-hand book seller.,,a second-hand book seller,Literal translation,古 (Old/Secondhand) ＋ 本 (Book) ＋ 屋 (Seller)という構成要素ごとの直訳であり、英語としても、自然であるため。,TRUE
1500,縁起でもない,縁喜でもない。,Please don't do it any more.,,Please don't do it any more.,Modulation,[評価 → 要求]「不吉だ（運勢の評価）」を「もうやめてくれ（禁止の要求）」へ変換しています。視点・発話機能の変更,TRUE
1505,木犀,玄関と門の間にあるこんもりした木犀の一株が、私の行手を塞ぐように、夜陰のうちに枝を張っていた。,"The dense fragrant olive between the entrance-door and the gate stretched its branches in the dark, as if trying to block my way.",,fragrant olive,Literal translation,「木犀」を英語圏で定着している植物名「fragrant olive」で対応させているため。,TRUE
1523,田舎者,私は電車の中で汗を拭きながら、他の時間と手数に気の毒という観念をまるでもっていない田舎者を憎らしく思った。,"Wiping my perspiring face in the electric-car, I hated those countrymen who did not feel a bit sorry for taking my time and troubling me so much.",,countrymen,Literal translation,「田舎（Country）」＋「者（Men）」という構成要素ごとの直訳。,TRUE
1527,丸善,それを履行するに必要な書物も手に入れなければ、ならなかった。私は半日を丸善の二階で潰す覚悟でいた。,"In order to carry out my programme I had to get some necessary books, and I resolved to spend half a day on the first floor of Maruzen.",,Maruzen,Borrowing,原文「丸善」を「Maruzen」と音写（ローマ字化）しており、補足説明がないため。,TRUE
