Location,Note,Highlight_JP,Highlight_EN,注釈,文化的要素の対応訳,翻訳技法,翻訳技法の選出理由,和英リンク,閲覧日,検閲有無
694,茶の間,私は 畏まったまま 烟草 を飲んでいた奥さんが茶の間で何か下女に話している声が聞こえた。,"I remained in a formal attitude, smoking, and could hear the sensei's wife talking to the maid in the sitting-room.",,sitting-room,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E8%8C%B6%E3%81%AE%E9%96%93,2026/01/03,TRUE
694,下女,私は 畏まったまま 烟草 を飲んでいた。奥さんが茶の間で何か 下女 に話している声が聞こえた。,"I remained in a formal attitude, smoking, and could hear the sensei's wife talking to the maid in the sitting-room.",,maid,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E4%B8%8B%E5%A5%B3#google_vignette,2026/01/03,TRUE
700,鹿爪らしく,「おや」といって、軽く驚いた時の眼を私に向けた。そうして客に来た人のように鹿爪らしく控えている私をおかしそうに見た。,"”Why,” she said, looking in, half surprised at me sitting formally like a guest. It seemed to appear ridiculous to her.",,formally,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E9%B9%BF%E7%88%AA%E3%82%89%E3%81%97%E3%81%84,2026/01/03,TRUE
709,長火鉢,私は奥さんの 後 に 尾 いて書斎を出た。茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,"I followed her to the sitting-room, where an iron tea-kettle was singing pleasantly on a beautifully polished oblong brazier.",,oblong brazier,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E9%95%B7%E7%81%AB%E9%89%A2,2026/01/03,TRUE
709,鉄瓶,私は奥さんの 後 に 尾 いて書斎を出た。茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,"I followed her to the sitting-room, where an iron tea-kettle was singing pleasantly on a beautifully polished oblong brazier.",,iron tea-kettle,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E9%89%84%E7%93%B6,2026/01/03,TRUE
724,空の盃,空の盃でよくああ飽きずに献酬ができると思いますわ,I wonder why they don’t get tired offering and taking quite empty cups.,,empty cups,Literal translation,空(empty)＋盃(cups)と対応させて訳しているため。辞書に対訳記述無し。,,,TRUE
724,献酬,空の盃でよくああ飽きずに献酬ができると思いますわ,I wonder why they don’t get tired offering and taking quite empty cups.,,offering and taking,Description,「献酬」という用語を、その行為の機能である「offering and taking」という動作の組み合わせで説明しているため。,,,TRUE
773,春の雲,けれどもそれは懐かしい春の雲を眺めるような心持で、ただ漠然と夢みていたに過ぎなかった。,"But it was like the feeling which takes possession of us when we look upon the lovely clouds of spring, a mere indefinite longing.",,clouds of spring,Literal translation,春の(of spring)＋雲(clouds)と対応させて訳しているため。辞書に対訳記述無し。,,,TRUE
792,下女部屋,下女部屋 にいる下女はことりとも音をさせなかった。私はまるで泥棒の事を忘れてしまった。,"No sound was heard from the maid in the servant's room, and the thought of the thief had disappeared entirely from my mind.",,servant's room,Literal translation,下女(servant's)＋部屋(room)と対応させて訳しているため。辞書に対訳記述無し。,,,TRUE
798,水注,奥さんは火鉢の灰を 搔 き 馴らした。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,"She levelled the ashes in the brazier, and poured water into the iron kettle, which stopped singing at once.",,なし,Reduction,原文の「水注」という水を注ぐ器の情報が、訳文では完全に省略されているため。,,,TRUE
798,鉄瓶,奥さんは火鉢の灰を 搔 き 馴らした。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,"She levelled the ashes in the brazier, and poured water into the iron kettle, which stopped singing at once.",,iron kettle,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E9%89%84%E7%93%B6,2026/01/03,TRUE
858,下女,下女だけは仮寝でもしていたとみえて、ついに出て来なかった。,"The maid did not appear, she must have been dozing in her room.",,maid,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E4%B8%8B%E5%A5%B3,2026/01/03,TRUE
871,西洋菓子,奥さんはそういいながら、先刻出した西洋菓子の残りを、紙に包んで私の手に持たせ,"So saying, she wrapped up the cakes which I had left, and handed them to me.",,cakes,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E8%A5%BF%E6%B4%8B%E8%8F%93%E5%AD%90,2026/01/03,TRUE
879,鳶色,私はその翌日午飯を食いに学校から帰ってきて、昨夜机の上に載せて置いた菓子の包みを見ると、すぐその中からチョコレートを塗った鳶色のカステラを出して頰張った。,"At noon on the next day, when I returned from school to take lunch, and looked at the package of cakes on my desk, I at once attacked one decorated with chocolate.",,なし,Reduction,原文の「鳶色」という色情報が、訳文の「one decorated with chocolate」では完全に省略されているため。,,,TRUE
885,繻絆,それまで繻絆というものを着た事のない私が、シャツの上に黒い襟のかかったものを重ねるようになったのはこの時からであった。,"It was after that that I, who had never worn juban 1 before, began to wear one with a black collar over my shirt.",juban: A kind of underwear for Japanese kimono.,juban,Amplification,原文「繻絆」を「juban」と借用しつつ、注釈で「A kind of underwear for Japanese kimono.」と説明（増幅）を加えているため。,,,TRUE
914,五徳,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,"There was a huge brazier in this sun-lit room, and with the help of the steam from the basin boiling on it, the sensei was trying to ease his breathing.",,on it,Generalization,"「五徳」は火鉢という暖房器具一式を構成する「部品（下位概念・部分）」であるのに対して訳文の ""it""（＝brazier/火鉢）は、五徳を含む「器具全体（上位概念・全体）」を指すため。",,,TRUE
914,金盥,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,"There was a huge brazier in this sun-lit room, and with the help of the steam from the basin boiling on it, the sensei was trying to ease his breathing.",,basin,Generalization,原文の「金盥」は金属製という具体的な素材を含むが、訳文の「basin」は素材を特定しない一般的な用語に一般化されているため。,,,TRUE
926,茶箪笥,それを奥の茶簞笥か何かの抽出から出して来た奥さんは、白い半紙の上へ鄭寧に重ねて、「そりゃご心配ですね」といった。,"When she took the bank-notes out of a drawer of some cabinet in the back-room, she put them in a while paper in a neat pile and said, ”O I am very sorry. You must be anxious about your father.”",,cabinet,Generalization,原文の「茶箪笥」が、特定の用途を示す「茶」の情報が失われ、より一般的で中立的な「cabinet」という収納家具に一般化されているため。,,,TRUE
936,胡座,それでも着いた時は、床の上に胡坐をかいて,"When I reached home, however, he sat cross-legged on his bed,",,cross-legged,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E8%83%A1%E5%BA%A7,2026/01/03,TRUE
940,不承無性,母は不承無性に太織りの蒲団を畳みながら「お父さんはお前が帰って来たので、急に気が強くおなりなんだよ」といった。,"As she reludrantly folded the heavy quilts, my mother said, “ Your father has become much brighter since you came back.”",,reluctantly,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E4%B8%8D%E6%89%BF,2026/01/03,TRUE
943,九州,私の兄はある職を帯びて遠い九州にいた。,"My elder brother’s profession took him to faraway Kyushu,",,Kyushu,Borrowing,原文「九州」を「Kyushu」と音写し、英訳にも注釈にも補足説明を加えていないため。,,,TRUE
957,正月,私は先生に手紙を書いて恩借の礼を述べた。正月上京する時に持参するからそれまで待ってくれるようにと断わった。,"I wrote to the sensei, and thanked him for his kindness in lending me the money, and told him that would bring it back when I returned to Tokyo in January.",,January,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E6%AD%A3%E6%9C%88,2026/01/03,TRUE
957,上京,私は先生に手紙を書いて恩借の礼を述べた。正月上京する時に持参するからそれまで待ってくれるようにと断わった。,"I wrote to the sensei, and thanked him for his kindness in lending me the money, and told him that would bring it back when I returned to Tokyo in January.",,returned to Tokyo,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E4%B8%8A%E4%BA%AC,2026/01/03,TRUE
963,東京,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,”You had better take some dried mushrooms as a present to him when you go to Tokyo next time.”,,Tokyo,Borrowing,原文「東京」を「Tokyo」と音写し、補足説明を加えていないため。,,,TRUE
963,椎茸,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,”You had better take some dried mushrooms as a present to him when you go to Tokyo next time.”,,dried mushrooms,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E6%A4%8E%E8%8C%B8,2026/01/03,TRUE
978,将棋盤,私は退屈な父の相手としてよく将碁盤に向かった。,"In order to amuse my father, I often sat with him at Japanese chess.",,Japanese chess,Generalization,原文の「将棋盤」は将棋を指すための特定の物理的道具（盤）を指しているが、訳文の「Japanese chess」は将棋というゲーム全体（抽象的概念）を指している。特定の下位概念から上位概念へと、意味の及ぶ範囲が広がっているため。,,,TRUE
979,炬燵,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,"It was so cold that we had no courage to drag ourselves away from the warm sunken fireplace with its wadded covering, so we placed the chess-board on the quilt and played comfortably.We did not even take our hands out, and as it came to our turn to play, we would take one hand from under the cover, make a move and put it back.",,the warm sunken fireplace with its wadded covering,Description,原文「炬燵」を、その名称を使わず「the warm sunken fireplace with its wadded covering」と形態や機能で説明しているため。,,,TRUE
979,櫓,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,"It was so cold that we had no courage to drag ourselves away from the warm sunken fireplace with its wadded covering, so we placed the chess-board on the quilt and played comfortably.We did not even take our hands out, and as it came to our turn to play, we would take one hand from under the cover, make a move and put it back.",,quilt,Reduction,原文にある「櫓（こたつの木枠）」という情報は訳文から完全に消えているため。訳文にある quilt は櫓の上にある布団であり、櫓そのものではない）。したがって、原文の「櫓」という構成要素については「削減」されたと判断。,,,TRUE
983,火箸,それを母が灰の中から見付け出して、火箸で挟み上げるという滑稽もあった。,"It was my mother who usually found them in the ashes, and picked them out with the tongs, which was quite a ridiculous sight.",,the tongs,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E7%81%AB%E7%AE%B8,2026/01/03,TRUE
984,碁,「碁 だと盤が高過ぎる上に、足が着いているから、炬燵の上では打てないが、そこへ来ると将碁盤は 好いね、こうして楽に差せるから。無精者には持って来いだ。もう一番やろう」,"""We cannot play go on the sunken fireplace, because the board is raised too high on its legs. But we can play chess comfortably here. It is very convenient for us lazy men. Let us play once more.""",go: A kind of indoor game which is a little different from Japanese chess.,go,Amplification,原文「碁」を「go」と音写（借用）し、注釈で「A kind of indoor game which is a little different from Japanese chess.」と補足説明を加えているため。,,,TRUE
991,金,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,I often stretched my arms and even yawned.,,なし,Reduction,原文の「金」を含む「金や香車を握った拳」が英訳で「my arms」と翻訳され、その結果「金」という文化的要素が完全に省略されたため。,,,TRUE
991,香車,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,I often stretched my arms and even yawned.,,なし,Reduction,原文の「香車」という具体的な文化的要素が、英訳において完全に省略されているため。「将棋の駒（具体的名称）」が消え、身体部位（腕）の動作のみになっている。,,,TRUE
998,将棋,それでいて、この将碁を差したがる父は、単なる娯楽の相手としても私には物足りなかった。,"Yet my father, who loved to play chess, was unsatisfactory to me even as a companion for games.",,chess,Adaptation,原文の「将碁（将棋）」という日本の文化的ボードゲームが、ターゲット文化圏で機能的に近い「chess」に置き換えられているため。辞書の対訳にはJapanese Chessは存在するが、chess単体は存在しないため。,,,TRUE
1010,儒者,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。,"Like a Christian bringing the influence of his strange doctrine to a Confucian's home in old days, what I brought from Tokyo did not harmonize with my parents' way of life.",,Confucian's,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E5%84%92%E8%80%85,2026/01/03,TRUE
1010,切支丹,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。,"Like a Christian bringing the influence of his strange doctrine to a Confucian's home in old days, what I brought from Tokyo did not harmonize with my parents' way of life.",,Christian,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E5%88%87%E6%94%AF%E4%B8%B9,2026/01/03,TRUE
1021,松飾,東京へ帰ってみると、松飾はいつか取り払われていた。,"I returned to Tokyo, the gay New Year's decorations had been already removed.",,New Year's decorations,Generalization,"原文「松飾」という特定の正月飾りを、訳文で「New Year's decorations」というより一般的・中立的な正月飾り全般を指す用語に抽象化しているため。辞書の対訳では「New Year""s pine decorations」と記述されており、松の情報が削られ、一般化されているため。",,,TRUE
1021,正月,町は寒い風の吹くに任せて、どこを見てもこれというほどの正月めいた景気はなかった。,"The street was exposed to the chilly wind, and not a vestige of the New Year gaiety was anywhere to be seen.",,New Year,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E6%AD%A3%E6%9C%88,2026/01/03,TRUE
1094,好事家,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,"Like a collector trying to find some curios,I scanned the titles of the books written in gold.",,collector,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E5%A5%BD%E4%BA%8B%E5%AE%B6,2026/01/03,TRUE
1094,骨董,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,"Like a collector trying to find some curios,I scanned the titles of the books written in gold.",,curios,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E9%AA%A8%E8%91%A3,2026/01/03,TRUE
1098,敷居を跨がなかった,私はついに四月の下旬が来て、やっと予定通りのものを書き上げるまで、先生の敷居を跨がなかった。,I did not call on the sensei until the end of April when the work was finished.,,call on,Generalization,「敷居を跨ぐ」という具体的な慣用句表現が、「call on（訪問する）」という一般的な行為を示す表現に一般化されているため。,,,TRUE
1101,八重桜,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,"It was at the beginning of summer that I was emancipated from study, when in place of the double cherry-blossoms, a mist of delicate green leaves began to cover the branches.",,double cherry-blossoms,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E5%85%AB%E9%87%8D%E6%A1%9C,2026/01/03,TRUE
1101,初夏,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,"It was at the beginning of summer that I was emancipated from study, when in place of the double cherry-blossoms, a mist of delicate green leaves began to cover the branches.",,at the beginning of summer,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E5%88%9D%E5%A4%8F,2026/01/03,TRUE
1104,枳殻,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,"As I walked along, I was attracted by the fresh buds on the blackish branches of the hedge of aegle sepiaria, and by the bright reddish-brown leaves softly reflecting the sunshine on the bare pomegranate-tree.",,aegle sepiaria,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E6%9E%B3%E6%AE%BB,2026/01/03,TRUE
1104,柘榴,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,"As I walked along, I was attracted by the fresh buds on the blackish branches of the hedge of aegle sepiaria, and by the bright reddish-brown leaves softly reflecting the sunshine on the bare pomegranate-tree.",,pomegranate-tree,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E6%9F%98%E6%A6%B4,2026/01/03,TRUE
1134,躑躅,躑躅が燃えるように咲き乱れていた。,The flaming azaleas were in full bloom.,,azaleas,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E8%BA%91%E8%BA%85,2026/01/03,TRUE
1135,霧島,先生はそのうちで樺色の丈の高いのを指して、「これは霧島でしょう」といった。,"The sensei pointed to a tall one of orange hue, and said:”I suppose this is kirishima.”.",kirishima: A kind of azalea.,kirishima,Amplification,原文「霧島」を「kirishima」と借用し、さらに注釈で「A kind of azalea.」と補足説明（増幅）を加えているため。,,,TRUE
1137,芍薬,芍薬も十坪あまり一面に植え付けられていたが、まだ季節が来ないので花を着けているのは一本もなかった。,"A garden of peonies covered a plot about twenty feet square, but it was too early for the flowers.",,peonies,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E8%8A%8D%E8%96%AC,2026/01/03,TRUE
1137,十坪,芍薬も十坪あまり一面に植え付けられていたが、まだ季節が来ないので花を着けているのは一本もなかった。,"A garden of peonies covered a plot about twenty feet square, but it was too early for the flowers.",,about twenty feet square,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E5%9D%AA,2026/01/03,TRUE
1210,杉苗,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,"Near the plantation of young cedars beside and behind the bench, bamboo clumps grew about eleven feet square, so think that they seemed to hide the ground.",,young cedars,Literal translation,杉(cedars)＋苗(young)と対応させて訳しているため。辞書に対訳記述無し。,,,TRUE
1210,熊笹,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,"Near the plantation of young cedars beside and behind the bench, bamboo clumps grew about eleven feet square, so think that they seemed to hide the ground.",,bamboo clumps,Generalization,一般的な笹の茂み(bamboo clumps)として置き換えられているため。辞書の対訳としては「kuma bamboo clumps」や「dwarf bamboo」と記述されており、その観点からもGenerizationの分類が適当である。,,,TRUE
1210,三坪,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,"Near the plantation of young cedars beside and behind the bench, bamboo clumps grew about eleven feet square, so thick that they seemed to hide the ground.",,eleven feet square,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E5%9D%AA,2026/01/03,TRUE
1219,蟇口,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,"He took his purse from his bosom, and put a five sen coin in the boy’s hand.",,purse,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E8%9F%87%E5%8F%A3,2026/01/03,TRUE
1219,五銭,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,"He took his purse from his bosom, and put a five sen coin in the boy’s hand.",,five sen,Borrowing,原文「五銭」を「five sen」と、「五」と「銭」の構成要素をそれぞれ逐語訳（仮借）しているため。,,,TRUE
1223,斥候長,「今斥候長になってるところなんだよ」,"”I am playing soldiers, I am a scout-master.”",,a scout-master,Literal translation,斥候(scout)＋長(master)と対応させて訳しているため。辞書に対訳記述無し。,,,TRUE
1238,楓,眼の前にある樹は大概楓であったが、その枝に滴るように吹いた軽い緑の若葉が、段々暗くなって行くように思われた。,"Almost all the trees in front of us were maples, and the delicate green leaves opened on their branches, bright and watery. But those leaves seemed to begin to look darker.",,maples,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E6%A5%93,2026/01/03,TRUE
1240,縁日,遠い往来を荷車を引いて行く響きがごろごろと聞こえた。私はそれを村の男が植木か何かを載せて 縁日 へでも出掛けるものと想像した。,"I heard a waggon rumbling along the far-away road, and imagined a villager carrying plants and vegetables to a local fete.",,a local fete,Adaptation,原文の「縁日」を、英語圏の村祭りに当たる「fete（西洋的な祝祭・バザー」とすることで、ターゲット文化圏の読者にとって馴染みやすく、類似の体験に置き換えているため。,,,TRUE
1304,不徳義漢,私の父の前には善人であったらしい彼らは、父の死ぬや否や許しがたい不徳義漢に変ったのです。,"They, who seemed to be honest before my father, soon after his death, became wicked, unforgivably wicked.",,wicked,Generalization,"「不徳義漢」は「義（道徳・正義）に欠ける男」という漢語的・儒教的な響きを持ちますが、""wicked"" は「邪悪な」という非常に一般的で強い形容詞であるため。",,,TRUE
1352,行李,卒業式の日、私は黴臭くなった古い冬服を行李の中から出して着た。,"On the graduation day, I put on an old winter suit, which smelt of mould from its long residence in a baskettrunk.",,a baskettrunk,Description,「行李（Kori）」という特定の道具を、英語の定訳（Wicker trunkなど）ではなく、「Basket（かご）」＋「Trunk（トランク）」という造語で、その材質と機能を説明しているため,,,TRUE
1354,厚羅紗,私は風の通らない厚羅紗の下に密封された自分の身体を持て余した。,"I did not know what to do with my poor body, swathed in wool which did not allow the slightest ventilation.",,wool which did not allow the slightest ventilation,Description,原文「厚羅紗」を、素材「wool」と「厚さ」がもたらす機能「did not allow the slightest ventilation」によって説明しているため。,,,TRUE
1366,箸,先生のうちで飯を食うと、きっとこの西洋料理店に見るような白いリンネルの上に、箸や茶碗が置かれた。,"Whenever I took dinner at his house, they always placed the bowls and hashi on the white linen cloth as was the custom in foreign restaurants.",hashi: Chopsticks.,hashi,Amplification,原文「箸」を「hashi」と借用し、さらに注釈で「Chopsticks.」という詳細説明（増幅）を加えているため。,,,TRUE
1366,茶碗,先生のうちで飯を食うと、きっとこの西洋料理店に見るような白いリンネルの上に、箸や茶碗が置かれた。,"Whenever I took dinner at his house, they always placed the bowls and hashi on the white linen cloth as was the custom in foreign restaurants.",,bowls,Generalization,原文「茶碗」を「bowls」と訳すことで、特定の用途を持つ碗からより一般的な碗へと抽象化しているため。,,,TRUE
1374,着物,「先生は癇性ですね」とかつて奥さんに告げた時、奥さんは「でも着物などは、それほど気にしないようですよ」と答えた事があった。,"When I once remarked to his wife that he was sensitive, she replied,”But he does not trouble himself about his dress.”",,his dress,Generalization,原文「着物」を、特定の和服を指す言葉ではなく、より一般的・中立的な用語である「his dress」に置き換えているため。,,,TRUE
1381,盃,「お目出とう」といって、先生が私のために杯を上げてくれた。私はこの盃に対してそれほど嬉しい気を起さなかった。,"“ Congratulations,” the sensei said, and raised his cup to me.These words did not produce the desired effect.",,These word,Description,「盃（を受ける）」という行為が持つ機能的意味（＝先生の祝福の言葉を受けること）を、物理的な「杯」ではなく「言葉（These words）」として説明的に訳出しているため。,,,TRUE
1381,杯,「お目出とう」といって、先生が私のために杯を上げてくれた。私はこの盃に対してそれほど嬉しい気を起さなかった。,"“ Congratulations,” the sensei said, and raised his cup to me.These words did not produce the desired effect.",,cup,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E6%9D%AF,2026/01/04,TRUE
1405,アイスクリーム,奥さんは下女を呼んで食卓を片付けさせた後へ、改めてアイスクリームと水菓子を運ばせた。,"She called the maid, who cleared away the table, and brought ice-cream and fruit instead.",,ice-cream,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E3%82%A2%E3%82%A4%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0,2026/01/05,TRUE
1405,水菓子,奥さんは下女を呼んで食卓を片付けさせた後へ、改めてアイスクリームと水菓子を運ばせた。,"She called the maid, who cleared away the table, and brought ice-cream and fruit instead.",,fruit,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E6%B0%B4%E8%8F%93%E5%AD%90,2026/01/03,TRUE
1488,団扇,先生は手に持った団扇をわざとばたばたいわせた。そうしてまた奥さんを顧みた。,"He purposely flapped the fan in his hand, and turned to his wife again.",,fan,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E5%9B%A3%E6%89%87,2026/01/03,TRUE
1493,古本屋,「古本屋に売るさ」,You can sell them to a second-hand book seller.,,a second-hand book seller,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E5%8F%A4%E6%9C%AC%E5%B1%8B,2026/01/03,TRUE
1500,縁起でもない,縁喜でもない。,Please don't do it any more.,,Please don't do it any more.,Adaptation,「不吉だ」という迷信・文化的な発話を、その発話が意図する「もうそういうことは言わないでくれ/やめてくれ」という具体的な要求（社会的機能）に置き換えているため。,,,TRUE
1505,木犀,玄関と門の間にあるこんもりした木犀の一株が、私の行手を塞ぐように、夜陰のうちに枝を張っていた。,"The dense fragrant olive between the entrance-door and the gate stretched its branches in the dark, as if trying to block my way.",,fragrant olive,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E6%9C%A8%E7%8A%80,2026/01/06,TRUE
1523,田舎者,私は電車の中で汗を拭きながら、他の時間と手数に気の毒という観念をまるでもっていない田舎者を憎らしく思った。,"Wiping my perspiring face in the electric-car, I hated those countrymen who did not feel a bit sorry for taking my time and troubling me so much.",,countrymen,Established equivalent,辞書に対訳が存在するため。,https://ejje.weblio.jp/content/%E7%94%B0%E8%88%8E%E8%80%85,2026/01/03,TRUE
1527,丸善,それを履行するに必要な書物も手に入れなければ、ならなかった。私は半日を丸善の二階で潰す覚悟でいた。,"In order to carry out my programme I had to get some necessary books, and I resolved to spend half a day on the first floor of Maruzen.",,Maruzen,Borrowing,原文「丸善」を「Maruzen」と音写（ローマ字化）しており、補足説明がないため。,,,TRUE
