Location,Note,Highlight_JP,Highlight_EN,注釈,文化的要素の対応訳,翻訳技法,辞書に対訳として存在するため。,和英リンク,閲覧日,検閲有無
709,鉄瓶,茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。,"An iron kettle was singing on a handsome, long brazier in the morning room.",,iron kettle,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E9%89%84%E7%93%B6,2026/01/03,TRUE
724,空の盃,空の盃でよくああ飽きずに献酬ができると思いますわ,"I have often wondered how it is that you men can, without becoming bored, forever exchange empty saké cups with one another.",,empty saké cups,Literal translation,empty(空の)＋saké cups(盃)と対応させて訳しているため。辞書に対訳記述無し。,,,TRUE
724,献酬,空の盃でよくああ飽きずに献酬ができると思いますわ,"I have often wondered how it is that you men can, without becoming bored, forever exchange empty saké cups with one another.",,forever exchange empty saké cups with one another,Description,原文「献酬（杯のやりとり）」という用語を使わず、その行為の機能（交換）と対象（盃）を具体的に描写した「forever exchange empty saké cups with one another」という説明に置き換えているため。,,,TRUE
773,春の雲,けれどもそれは懐かしい春の雲を眺めるような心持で、ただ漠然と夢みていたに過ぎなかった。,"But the yearning in me was little more than a vague dream, hardly different from the yearning in one's heart when one sees a lovely cloud in the spring sky.",,cloud in the spring sky,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E6%98%A5%E3%81%AE%E9%9B%B2,2026/01/03,TRUE
792,下女部屋,下女部屋にいる下女はことりとも音をさせなかった。,Not a sound came from the maid's room.,,maid's room,Literal translation,maid's(下女)＋room(部屋)と対応させて訳しているため。辞書に対訳記述無し。,,,TRUE
798,水注,奥さんは火鉢の灰を掻き馴らした。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,She leveled off the cinders in the brazier and poured more water from a jug into the iron kettle. The kettle stopped singing.,,jug,Generalization,「水注」は火鉢や茶道など特定の用途や形状を持つ日本の容器ですが、訳語の「jug」はより中立的・一般的な上位概念（水差し）です。特定の情報（用途、形状、文化性）を抽象化し、その機能（水を注ぐ容器）に限定して訳出しているため、Established equivalentよりもGeneralization。,,,TRUE
798,鉄瓶,奥さんは火鉢の灰を掻き馴らした。それから水注の水を鉄瓶に注した。鉄瓶は忽ち鳴りを沈めた。,She leveled off the cinders in the brazier and poured more water from a jug into the iron kettle. The kettle stopped singing.,,iron kettle,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E9%89%84%E7%93%B6,2026/01/03,TRUE
858,下女,下女だけは仮寝でもしていたとみえて、ついに出て来なかった。,"The maid, who was probably dozing in her room, failed to appear in the front hall to greet her master.",,maid,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E4%B8%8B%E5%A5%B3,2026/01/03,TRUE
871,西洋菓子,奥さんはそういいながら、先刻出した西洋菓子の残りを、紙に包んで私の手に持たせた。,"She then gave me the rest of the cakes, wrapped in a piece of paper, to take home.",,cakes,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E8%A5%BF%E6%B4%8B%E8%8F%93%E5%AD%90,2026/01/04,TRUE
879,鳶色,すぐその中からチョコレートを塗った鳶色のカステラを出して頰張った。,"I opened it and, choosing a cake covered with chocolate, I began to eat it.",,なし,Reduction,原文「鳶色」に相当する色情報が訳文の「cake」から完全に省略されているため。,,,TRUE
885,繻絆,私は先生の 宅 へ 出 はいりをするついでに、衣服の 洗い張りや 仕立て 方 などを奥さんに頼んだ。それまで繻絆というものを着た事のない私が、シャツの上に黒い襟のかかったものを重ねるようになったのはこの時からであった。,"I began to take my clothes to Sensei's wife to be mended, and it was then too that I began to be more careful in my dress.",,be more careful in my dress,Description,原文の「繻絆（具体的な衣服）」という語を直接訳出せず、その行為が文脈の中で果たしている「身だしなみに気を使う（行為・状態）」という機能面を説明的な英語に置き換えているため。,,,TRUE
914,五徳,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,"Into this sunny room, Sensei had brought a large brazier. A metal basin, filled with water, had been placed on it so that the steam rising from it might ease Sensei's breathing.",,on it,Generalization,"「五徳」は火鉢という暖房器具一式を構成する「部品（下位概念・部分）」であるのに対して訳文の ""it""（＝brazier/火鉢）は、五徳を含む「器具全体（上位概念・全体）」を指すため。",,,TRUE
914,金盥,先生はこの日あたりの好い室の中へ大きな火鉢を置いて、五徳の上に懸けた金盥から立ち上る湯気で、呼吸の苦しくなるのを防いでいた。,"Into this sunny room, Sensei had brought a large brazier. A metal basin, filled with water, had been placed on it so that the steam rising from it might ease Sensei's breathing.",,A metal basin,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E9%87%91%E7%9B%A5,2026/01/03,TRUE
926,茶箪笥,それを奥の茶簞笥か何かの抽出から出して来た奥さんは、白い半紙の上へ鄭寧に重ねて、「そりゃご心配ですね」といった。,"She returned and, politely placing the money on a sheet of white paper, said, ""You must be worried.""",,returned,Reduction,原文「茶箪笥」という文化的要素を含む「抽出から出して来た」という行動が「returned」と訳され、その場所の情報が完全に省略されているため。,,,TRUE
936,胡座,それでも着いた時は、床の上に胡坐をかいて、,"When I returned, I found him sitting up in bed. ",,sitting up in bed,Generalization,胡座（あぐら）」という具体的な座り方を、「sitting up in bed」という一般的な姿勢に置き換えているため,,,TRUE
940,不承無性,母は不承無性に太織りの蒲団を畳みながら「お父さんはお前が帰って来たので、急に気が強くおなりなんだよ」といった。,"""Because you are here, your father has convinced himself that he is better,"" my mother said",,なし,Reduction,原文の「不承無性」という母の心理描写が、英訳には対応する表現として完全に省略されているため。,,,TRUE
943,九州,私の兄はある職を帯びて遠い九州にいた。これは万一の事がある場合でなければ、容易に父母の顔を見る自由の利かない男であった。,"My elder brother worked in distant Kyushu, and therefore could not visit my parents, unless he felt that there was a pressing need for him to do so.",,Kyushu,Borrowing,原文「九州」を「Kyushu」と音写し、英訳にも注釈にも補足説明を加えていないため。,,,TRUE
957,正月,正月上京する時に持参するからそれまで待ってくれるようにと断わった。,"I said that I would be returning to Tokyo in January and that, if he did not mind, I would wait till then to repay him.",,January,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E6%AD%A3%E6%9C%88,2026/01/04,TRUE
957,上京,正月上京する時に持参するからそれまで待ってくれるようにと断わった。,"I said that I would be returning to Tokyo in January and that, if he did not mind, I would wait till then to repay him.",,returning to Tokyo,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E4%B8%8A%E4%BA%AC,2026/01/04,TRUE
963,東京,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,"""When you go back to Tokyo, why don't you take him some dried mushrooms?""",,Tokyo,Borrowing,原文「東京」を「Tokyo」と音写（ローマ字化）しており、補足説明を一切加えていないため。,,,TRUE
963,椎茸,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,"""When you go back to Tokyo, why don't you take him some dried mushrooms?""",,dried mushrooms,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E6%A4%8E%E8%8C%B8,2026/01/04,TRUE
978,将棋盤,私は退屈な父の相手としてよく将碁盤に向かった。,"To help my father forget his boredom, I often played chess with him. ",,chess,Generalization,原文の「将棋盤」は将棋を指すための特定の物理的道具（盤）を指しているが、訳文の「chess」はゲーム全体（抽象的概念）を指している。特定の下位概念から上位概念へと、意味の及ぶ範囲が広がっているため。,,,TRUE
979,炬燵,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,"We were both by nature very lazy. We would sit on the floor with a footwarmer between us, and a large quilt covering the footwarmer and our bodies from the waist down.After every move, we would put our hands back under the quilt, determined not to sacrifice comfort for the sake of the game.",,a footwarmer between usand a large quilt covering the footwarmer and our bodies from the waist down,Description,原文「炬燵」を、用語を使わずその機能（footwarmer）と形態（quilt）で説明しているため。,,,TRUE
979,櫓,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,"We were both by nature very lazy. We would sit on the floor with a footwarmer between us, and a large quilt covering the footwarmer and our bodies from the waist down.After every move, we would put our hands back under the quilt, determined not to sacrifice comfort for the sake of the game.",,なし,Reduction,原文の「櫓」という情報が、訳文で一切言及されず完全に省略されているため。,,,TRUE
983,火箸,それを母が灰の中から見付け出して、火箸で挟み上げるという滑稽もあった。," It amused us all when once my mother found the lost pieces among the cinders in the footwarmer, and had to retrieve them with a pair of tongs.",,a pair of tongs,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E7%81%AB%E7%AE%B8,2026/01/04,TRUE
984,碁,「碁 だと盤が高過ぎる上に、足が着いているから、炬燵の上では打てないが、そこへ来ると将碁盤は 好いね、こうして楽に差せるから。無精者には持って来いだ。もう一番やろう」,"""One good thing about chess is that we can play it in this comfortable position,"" my father once said. ""It's an ideal game for lazy people like us. The trouble with go is that the board is too high--and it has legs too--and we couldn't very well put it between us on the foot warmer and play on it... How about another game of chess?""",go : kind of checkers.,go,Amplification,原文「碁」を「go」と音写し、さらに注釈で「kind of checkers.」と説明（増幅）を加えているため。,,,TRUE
991,金,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,"At times, in the middle of a game, I would find myself yawning heavily.",,なし,Reduction,原文の「金」という将棋の駒に関する情報が、訳文では「in the middle of a game」と一般化され、具体性が完全に省略されているため。,,,TRUE
991,香車,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,"At times, in the middle of a game, I would find myself yawning heavily.",,なし,Reduction,原文の「香車」という将棋の駒に関する情報が、訳文では「in the middle of a game」と一般化され、具体性が完全に省略されているため。,,,TRUE
998,将棋,それでいて、この将碁を差したがる父は、単なる娯楽の相手としても私には物足りなかった。かつて遊興のために 往来 をした 覚えのない先生は、歓楽の交際から出る親しみ以上に、いつか私の頭に影響を与えていた。,"But while my chess-loving father failed even to entertain me, Sensei, whose acquaintance I had never sought for amusement's sake, gave me far greater intellectual satisfaction as a companion.",,chess,Adaptation,原文の「将碁（将棋）」という日本の文化的ボードゲームが、ターゲット文化圏で機能的に近い「chess」に置き換えられているため。辞書の対訳にはJapanese Chessは存在するが、chess単体は存在しないため。,,,TRUE
1010,儒者,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。," As someone in days gone by might have put it, it was like introducing the smell of a Christian into the home of a Confucianist.",,Confucianist,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E5%84%92%E8%80%85,2026/01/03,TRUE
1010,切支丹,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。," As someone in days gone by might have put it, it was like introducing the smell of a Christian into the home of a Confucianist.",,Christian,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E5%88%87%E6%94%AF%E4%B8%B9,2026/01/04,TRUE
1021,松飾,東京へ帰ってみると、松飾はいつか取り払われていた。,"When I returned to Tokyo, I discovered that all the New Year decorations had already been taken down.",,New Year decorations,Generalization,"原文「松飾」を、より一般的・中立的な「New Year decorations（新年の飾り）」という用語に置き換えているため。辞書の対訳では「New Year""s pine decorations」と記述されており、松の情報が削られ、一般化されているため。",,,TRUE
1021,正月,町は寒い風の吹くに任せて、どこを見てもこれというほどの正月めいた景気はなかった。," I detected little of the New Year spirit as I walked about the cold, windy streets.",,New Year spirit,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E6%AD%A3%E6%9C%88,2026/01/03,TRUE
1094,好事家,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,"If I was not at my desk, I was in the gloomy library, hurriedly scanning the titles on the high shelves, as though I were some kind of curio-hunter.",,curio-hunter,Description,「好事家」という広い概念を、文脈に合わせて「骨董（curio）を漁る人（hunter）」というその形態・機能を示す説明的な言葉に置き換えているため。,,,TRUE
1094,骨董,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,"If I was not at my desk, I was in the gloomy library, hurriedly scanning the titles on the high shelves, as though I were some kind of curio-hunter.",,curio,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E9%AA%A8%E8%91%A3,2026/01/03,TRUE
1098,敷居を跨がなかった,私はついに四月の下旬が来て、やっと予定通りのものを書き上げるまで、先生の敷居を跨がなかった。,"I did not visit Sensei once before the latter part of April, by which time I had finally completed my thesis.",,did not visit,Generalization,「敷居を跨ぐ」という慣用句は、「家に入る/訪問する」という行為を、日本家屋の特定の構造物（敷居）を使った具体的・物理的な動作（Specific/Concrete）で表現するものに対して訳文の「visit」は、その動作が意味する一般的・包括的な行為であるため。,,,TRUE
1101,八重桜,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,"I was free at last, when the double cherry blossoms had all fallen and in their place misty green leaves had begun to grow. It was the beginning of summer.",,double cherry blossoms,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E5%85%AB%E9%87%8D%E6%A1%9C,2026/01/03,TRUE
1101,初夏,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,"I was free at last, when the double cherry blossoms had all fallen and in their place misty green leaves had begun to grow. It was the beginning of summer.",,the beginning of summer,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E5%88%9D%E5%A4%8F,2026/01/03,TRUE
1104,枳殻,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,"On my way to his house, I noticed the young buds on the twigs of the quince hedges bursting into leaf, and I saw too the shiny brown leaves of the pomegranate trees softly reflecting the sunlight. ",,quince hedges,Adaptation,原文の「枳殻」という日本の特定の植物（からたち）を、英語圏で生垣としても用いられるが、植物としては異なる「quince」（機能的に同等だが、異なる種類の植物に置き換えているため。,,,TRUE
1104,柘榴,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,"On my way to his house, I noticed the young buds on the twigs of the quince hedges bursting into leaf, and I saw too the shiny brown leaves of the pomegranate trees softly reflecting the sunlight. ",,pomegranate trees,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E6%9F%98%E6%A6%B4,2026/01/03,TRUE
1134,躑躅,躑躅が燃えるように咲き乱れていた。,All about us azaleas flamed in all their splendor.,,azaleas,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E8%BA%91%E8%BA%85,2026/01/03,TRUE
1135,霧島,先生はそのうちで樺色の丈の高いのを指して、「これは霧島でしょう」といった。,"Sensei pointed to an azalea which grew taller than the others and was reddish-yellow in color. ""That is what we call 'Kirishima,' I think,"" he said.","Kirishima : Literally, this means ""mist island.""",Kirishima,Amplification,"原文「霧島」を「Kirishima」と音写し、注釈で「Literally, this means ""mist island.""」と詳細な説明（増幅）を加えているため。",,,TRUE
1137,芍薬,芍薬も十坪あまり一面に植え付けられていたが、まだ季節が来ないので花を着けているのは一本もなかった。,There were also peonies covering all area of about ten tsubo. It was too early in the summer for them to be in bloom.,ten tsubo : Ten tsubo is about forty square yards.,peonies,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E8%8A%8D%E8%96%AC,2026/01/03,TRUE
1137,十坪,芍薬も十坪あまり一面に植え付けられていたが、まだ季節が来ないので花を着けているのは一本もなかった。,There were also peonies covering all area of about ten tsubo.  It was too early in the summer for them to be in bloom.,ten tsubo : Ten tsubo is about forty square yards.,ten tsubo,Amplification,原文「十坪」を「ten tsubo」と音写し、さらに注釈で「about forty square yards」と補足説明（増幅）しているため。,,,TRUE
1210,杉苗,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,"Behind the bench, and next to the cedar saplings, dwarf bamboos grew thickly over a small patch of ground.",,cedar saplings,Literal translation,cedar(杉)＋saplings(苗)と対応させて訳しているため。辞書に対訳記述無し。,,,TRUE
1210,熊笹,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,"Behind the bench, and next to the cedar saplings, dwarf bamboos grew thickly over a small patch of ground.",,dwarf bamboos,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E7%86%8A%E7%AC%B9,2026/01/03,TRUE
1210,三坪,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,"Behind the bench, and next to the cedar saplings, dwarf bamboos grew thickly over a small patch of ground.",,a small patch of ground,Generalization,原文の具体的な面積単位「三坪」を、より一般的・抽象的な「a small patch of ground」に一般化しているため。,,,TRUE
1219,蟇口,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,"He pulled out his purse and, finding a five-sen piece, gave it to the boy.",,purse,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E8%9F%87%E5%8F%A3,2026/01/04,TRUE
1219,五銭,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,"He pulled out his purse and, finding a five-sen piece, gave it to the boy.",,five-sen,Borrowing,"原文「銭」を""sen""とそのまま音訳しているから。",,,TRUE
1223,斥候長,「今斥候長になってるところなんだよ」,"""At the moment, I am chief of the army scouts,""",,chief of the army scouts,Literal translation,scout/army scout(斥候)＋chief(長)と対応させて訳しているため。辞書に対訳記述無し。,,,TRUE
1238,楓,眼の前にある樹は大概楓であったが、その枝に滴るように吹いた軽い緑の若葉が、段々暗くなって行くように思われた。,"And before us, the delicate, green maple leaves, which looked like drops of water just about to fall from the branches, seemed to grow darker in color.",,maple leaves,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E6%A5%93,2026/01/03,TRUE
1240,縁日,私はそれを村の男が植木か何かを載せて縁日へでも出掛けるものと想像した。,I imagined that a man from the village had loaded his cart with plants or vegetables and was on his way to some fair to sell them.,,fair,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E7%B8%81%E6%97%A5,2026/01/04,TRUE
1304,不徳義漢,私の父の前には善人であったらしい彼らは、父の死ぬや否や許しがたい不徳義漢に変ったのです。,"When my father was alive, they behaved like decent people. But as soon as he died they turned into scoundrels.",,scoundrels,Generalization,特定の儒教的・道徳的な「義」のニュアンスが失われ、一般的な悪党になっているため。,,,TRUE
1352,行李,卒業式の日、私は黴臭くなった古い冬服を行李の中から出して着た。,"On the day of the graduation ceremony, I brought out my old and musty winter uniform from my suitcase and put it on.",,suitcase,Adaptation,「行李（こうり）」は竹や柳で編んだ収納具という特定の形態を持つ日本の文化要素。これを、機能は同じだが形態も文化も異なる現代西洋の「suitcase」に置き換えているため。,,,TRUE
1354,厚羅紗,私は風の通らない厚羅紗の下に密封された自分の身体を持て余した。,My body felt as if it had been sealed in an airtight envelope of thick wool.,,thick wool,Generalization,「羅紗（ラシャ）」は「毛織物の一種（具体的な製品名/織り方）」。これを「wool（羊毛/素材）」と訳すのは、「特定の布地（下位概念）」を「その素材（上位概念）」で表現する操作であるため。,,,TRUE
1366,箸,先生のうちで飯を食うと、きっとこの西洋料理店に見るような白いリンネルの上に、箸や茶碗が置かれた。,"As always when I dined at Sensei's, I found the bowls and chopsticks neatly laid out on white linen such as one sees in the European-style restaurants.",,chopsticks,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E7%AE%B8,2026/01/03,TRUE
1366,茶碗,先生のうちで飯を食うと、きっとこの西洋料理店に見るような白いリンネルの上に、箸や茶碗が置かれた。,"As always when I dined at Sensei's, I found the bowls and chopsticks neatly laid out on white linen such as one sees in the European-style restaurants.",,bowls,Generalization,原文の「茶碗」という特定の食事用容器を、より一般的で広範な意味を持つ「bowls」に一般化しているため。,,,TRUE
1374,着物,奥さんは「でも着物などは、それほど気にしないようですよ」と答えた事があった。," ""Perhaps so,"" she said. ""But when it comes to clothes, he certainly is not overcareful.""",,clothes,Generalization,原文「着物」という特定の文化要素を、より一般的な意味を持つ「clothes」という用語に置き換えているため。,,,TRUE
1381,盃,「お目出とう」といって、先生が私のために杯を上げてくれた。私はこの盃に対してそれほど嬉しい気を起さなかった。,"""Congratulations,"" Sensei said, and raised his saké cup to me. The gesture did not make me particularly happy,",,The gesture,Description,「盃」という物理的な物体を、「（杯を交わす）振る舞い」という機能的・状況的な説明に置き換えているため。,,,TRUE
1381,杯,「お目出とう」といって、先生が私のために杯を上げてくれた。私はこの盃に対してそれほど嬉しい気を起さなかった。,"""Congratulations,"" Sensei said, and raised his saké cup to me. The gesture did not make me particularly happy, ",,saké cup,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E6%9D%AF,2026/01/03,TRUE
1405,アイスクリーム,奥さんは下女を呼んで食卓を片付けさせた後へ、改めてアイスクリームと水菓子を運ばせた。,"Sensei's wife, it seemed, had so little to do in the house that she could, if she wished, serve her guests homemade ice cream. ",,homemade ice cream,Amplification,原文「アイスクリーム」に対し、訳文では「homemade (自家製の)」という具体的な属性情報を付加して、意味を特定化（Particularization）しているため。,,,TRUE
1405,水菓子,奥さんは下女を呼んで食卓を片付けさせた後へ、改めてアイスクリームと水菓子を運ばせた。,"Sensei's wife, it seemed, had so little to do in the house that she could, if she wished, serve her guests homemade ice cream. ",,なし,Reduction,原文の「水菓子」という文化的要素が英訳の「homemade ice cream」で完全に省略されているため。,,,TRUE
1488,団扇,先生は手に持った団扇をわざとばたばたいわせた。,Sensei made as much noise as he could with his fan.,,fan,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E5%9B%A3%E6%89%87,2026/01/04,TRUE
1493,古本屋,「古本屋に売るさ」,"""You can sell them to some secondhand bookshop.""",,secondhand bookshop,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E5%8F%A4%E6%9C%AC%E5%B1%8B,2026/01/03,TRUE
1500,縁起でもない,縁喜でもない。,It's unlucky to talk like that.,,It's unlucky to talk like that.,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E7%B8%81%E8%B5%B7%E3%81%A7%E3%82%82%E3%81%AA%E3%81%84,2026/01/03,TRUE
1505,木犀,玄関と門の間にあるこんもりした木犀の一株が、私の行手を塞ぐように、夜陰のうちに枝を張っていた。,"Between the house and the outer gate there was a bushy osmanthus tree. It spread its branches into the night, as if to block my way. ",,osmanthus tree,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E6%9C%A8%E7%8A%80,2026/01/03,TRUE
1523,田舎者,私は電車の中で汗を拭きながら、他の時間と手数に気の毒という観念をまるでもっていない田舎者を憎らしく思った。,"And as I sat in the tram, wiping the perspiration from my face, I began to hate country people who were always ready to bother others busier than themselves with annoying requests.",,country people,Literal translation,country(田舎)＋people(者)と対応させて訳しているため。辞書に対訳記述無し。,,,TRUE
1527,丸善,私は半日を丸善の二階で潰す覚悟でいた。私は自分に関係の深い部門の書籍棚の前に立って、隅から隅まで一冊ずつ点検して行った。,"I went to the Maruzen Bookshop, and, prepared to spend half the day there if need be, I examined carefully all the books that dealt with my subject of study.",,Maruzen Bookshop,Amplification,原文「丸善」を「Maruzen」と借用しつつ、「Bookshop」という詳細説明を加えて増幅しているため。,,,TRUE
